Program,NTC,SSDL_Live_0,SSDL_Score_0,SSDL_MTDauto_0,ALL_Live_0,ALL_Score_0,ALL_MTDauto_0,SSDL_Live_1,SSDL_Score_1,SSDL_MTDauto_1,ALL_Live_1,ALL_Score_1,ALL_MTDauto_1,SSDL_Live_2,SSDL_Score_2,SSDL_MTDauto_2,ALL_Live_2,ALL_Score_2,ALL_MTDauto_2,SSDL_Live_3,SSDL_Score_3,SSDL_MTDauto_3,ALL_Live_3,ALL_Score_3,ALL_MTDauto_3
boundedQueue,0,41,0,0.42,1021,0,10.37,20.8,0.49,0.21,556.7,0.45,5.66,12.9,0.69,0.13,315.9,0.69,3.21,8.5,0.79,0.09,225.7,0.78,2.30
cal,0,11,0,0.11,820,0,8.33,3.8,0.65,0.04,406.1,0.50,4.13,1,0.91,0.01,198.2,0.76,2.02,0,1.00,0.00,111,0.86,1.13
Calculation,0,33,0,0.34,1012,0,10.28,22.8,0.31,0.23,740,0.27,7.52,16.3,0.51,0.17,566.2,0.44,5.76,7.8,0.76,0.08,319.9,0.68,3.26
checkIt,0,4,0,0.04,45,0,0.46,1.2,0.70,0.01,24.4,0.46,0.25,0,1.00,0.00,9,0.80,0.09,0,1.00,0.00,9,0.80,0.09
CheckPalindrome,0,8,0,0.08,145,0,1.47,5.6,0.30,0.06,69.9,0.52,0.71,3.9,0.51,0.04,51.7,0.64,0.53,2.2,0.73,0.02,26,0.82,0.26
countPositive,0,7,0,0.07,142,0,1.44,3.2,0.54,0.03,66.7,0.53,0.68,0,1.00,0.00,4.8,0.97,0.05,0,1.00,0.00,4,0.97,0.04
date-plus,0,88,0,0.89,2257,0,22.93,50.3,0.43,0.51,1350.6,0.40,13.73,35.6,0.60,0.36,993.6,0.56,10.11,31.1,0.65,0.32,851.4,0.62,8.67
DigitReverser,0,15,0,0.15,451,0,4.58,2,0.87,0.02,131,0.71,1.33,0,1.00,0.00,67,0.85,0.68,0,1.00,0.00,67,0.85,0.68
findLast,0,7,0,0.07,189,0,1.92,2.6,0.63,0.03,96.8,0.49,0.98,0,1.00,0.00,50,0.74,0.51,0,1.00,0.00,50,0.74,0.51
findVal,0,5,0,0.05,176,0,1.79,0.9,0.82,0.01,58.1,0.67,0.59,0,1.00,0.00,15,0.91,0.15,0,1.00,0.00,15,0.91,0.15
Gaussian,0,24,0,0.24,1058,0,10.75,12.8,0.47,0.13,486.2,0.54,4.94,9.2,0.62,0.09,327.6,0.69,3.33,7.6,0.68,0.08,284.5,0.73,2.90
Heap,0,36,0,0.37,975,0,9.90,11.2,0.69,0.11,303.3,0.69,3.08,3.2,0.91,0.03,105.9,0.89,1.08,0,1.00,0.00,50,0.95,0.51
InversePermutation,0,13,0,0.13,515,0,5.23,8.2,0.37,0.08,381.6,0.26,3.88,4.6,0.65,0.05,241.3,0.53,2.46,2.4,0.82,0.02,114.4,0.78,1.16
jday-jdate,0,31,0,0.31,2737,0,27.80,19.1,0.38,0.19,1705.7,0.38,17.34,4.8,0.85,0.05,517.7,0.81,5.27,2.7,0.91,0.03,284.7,0.90,2.90
lastZero,0,7,0,0.07,163,0,1.66,0,1.00,0.00,14,0.91,0.14,0,1.00,0.00,14,0.91,0.14,0,1.00,0.00,14,0.91,0.14
LRS,0,33,0,0.34,842,0,8.55,17,0.48,0.17,405,0.52,4.12,3.3,0.90,0.03,78.2,0.91,0.80,0,1.00,0.00,15,0.98,0.15
MergeSort,0,23,0,0.23,959,0,9.74,3.8,0.83,0.04,152.4,0.84,1.55,0.3,0.99,0.00,50.1,0.95,0.51,0,1.00,0.00,43,0.96,0.44
numZero,0,7,0,0.07,139,0,1.41,2.6,0.63,0.03,42.2,0.70,0.43,0,1.00,0.00,7,0.95,0.07,0,1.00,0.00,7,0.95,0.07
oddOrPos,0,7,0,0.07,290,0,2.95,4.3,0.39,0.04,215.3,0.26,2.19,0.2,0.97,0.00,84.4,0.71,0.86,0,1.00,0.00,64,0.78,0.65
pcal,0,128,0,1.30,5374,0,54.59,87.2,0.32,0.89,4078.5,0.24,41.46,54.4,0.58,0.55,2724.9,0.49,27.73,35.7,0.72,0.36,1807.4,0.66,18.41
power,0,9,0,0.09,260,0,2.64,4.6,0.49,0.05,135.9,0.48,1.38,1.8,0.80,0.02,65.7,0.75,0.67,0,1.00,0.00,10,0.96,0.10
