Program,NTC_0,MTD_0,NTC_1,Score_1,MTD_1,NTC_2,Score_2,MTD_2,NTC_3,Score_3,MTD_3
boundedQueue,0,11.3,1,0.45,6.2,2,0.69,3.1,3,0.79,2.4
cal,0,2.8,1,0.65,1.0,2,0.91,0.3,3,1.00,0.0
Calculation,0,9.0,1,0.28,6.5,2,0.51,4.8,3,0.76,2.7
checkIt,0,1.5,1,0.47,0.8,2,1.00,0.5,2,1.00,0.5
CheckPalindrome,0,2.0,1,0.30,1.4,2,0.51,1.0,3,0.73,0.6
countPositive,0,1.8,1,0.54,0.8,2,1.00,0.0,3,1.00,0.0
date-plus,0,22.3,1,0.42,12.8,2,0.60,9.2,3,0.65,8.0
DigitReverser,0,3.8,1,0.87,0.5,2,1.00,0.0,2,1.00,0.0
findLast,0,1.8,1,0.63,0.7,2,1.00,0.0,2,1.00,0.0
findVal,0,1.3,1,0.82,0.2,2,1.00,0.0,2,1.00,0.0
Gaussian,0,6.0,1,0.47,3.2,2,0.62,2.3,3,0.68,1.9
Heap,0,9.5,1,0.65,3.3,2,0.91,1.3,3,1.00,0.5
InversePermutation,0,3.3,1,0.37,2.1,2,0.65,1.2,3,0.82,0.6
jday-jdate,0,8.0,1,0.37,5.0,2,0.85,1.5,3,0.91,0.9
lastZero,0,1.8,1,1.00,0.0,1,1.00,0.0,1,1.00,0.0
LRS,0,9.3,1,0.43,5.3,2,0.90,1.8,3,1.00,1.0
MergeSort,0,5.8,1,0.83,1.0,2,0.99,0.1,3,1.00,0.0
numZero,0,1.8,1,0.63,0.7,2,1.00,0.0,2,1.00,0.0
oddOrPos,0,1.8,1,0.39,1.1,2,0.97,0.1,3,1.00,0.0
pcal,0,34.0,1,0.30,23.8,2,0.58,15.6,3,0.72,10.9
power,0,2.3,1,0.49,1.2,2,0.80,0.5,3,1.00,0.0
printPrimes,0,6.3,1,0.72,1.8,2,0.95,0.6,3,1.00,0.3
print_tokens,0,56.8,1,0.60,22.9,2,0.80,16.3,3,0.84,13.9
print_tokens2,0,58.0,1,0.43,32.9,2,0.83,15.9,3,0.88,12.9
Queue,0,12.8,1,0.26,9.5,2,0.48,7.1,3,0.62,5.5
quicksort,0,5.5,1,0.83,0.9,2,0.94,0.4,3,0.95,0.3
RecursiveSelectionSort,0,3.5,1,0.68,1.1,2,0.96,0.1,3,1.00,0.0
replace,0,64.0,1,0.46,34.8,2,0.58,26.6,3,0.69,19.9
schedule,0,37.0,1,0.53,17.3,2,0.80,10.6,3,0.91,6.9
schedule2,0,35.8,1,0.44,20.2,2,0.68,15.8,3,0.82,11.8
Stack,0,12.3,1,0.40,7.4,2,0.68,5.5,3,0.78,4.4
stats,0,4.3,1,0.68,1.4,2,1.00,0.5,2,1.00,0.5
sum,0,1.3,1,0.34,0.8,2,0.76,0.3,3,1.00,0.0
tcas,0,11.5,1,0.21,9.1,2,0.35,7.9,3,0.45,6.8
testPad,0,4.0,1,0.58,1.7,2,0.83,0.9,3,0.95,0.5
totinfo,0,31.5,1,0.29,22.4,2,0.48,16.4,3,0.68,10.1
trashAndTakeOut,0,3.8,1,0.68,1.2,2,0.94,0.5,3,1.00,0.3
twoPred,0,1.8,1,0.63,0.7,2,1.00,0.3,2,1.00,0.3
UnixCal,0,25.3,1,0.41,15.0,2,0.65,9.5,3,0.75,7.1
