Program,FUN,LOC,TOTAL,EQ,PCT_EQ,SSDL,EQ_SSDL,PCT_EQ_SSDL,TC
boundedQueue,6,49,1121,100,8.9,45,4,8.9,13
cal,1,18,891,71,8.0,11,0,0.0,7
Calculation,7,40,1118,106,9.5,36,3,8.3,12
checkIt,1,9,104,59,56.7,6,2,33.3,9
CheckPalindrome,1,10,166,21,12.7,8,0,0.0,7
countPositive,1,9,151,9,6.0,7,0,0.0,5
date-plus,3,132,2421,164,6.8,89,1,1.1,48
DigitReverser,1,17,496,45,9.1,15,0,0.0,4
findLast,1,10,198,9,4.5,7,0,0.0,6
findVal,1,7,190,14,7.4,5,0,0.0,6
Gaussian,6,23,1086,28,2.6,24,0,0.0,20
Heap,7,41,1079,104,9.6,38,2,5.3,7
InversePermutation,1,15,576,61,10.6,13,0,0.0,11
jday-jdate,2,39,2821,84,3.0,32,1,3.1,26
lastZero,1,9,173,10,5.8,7,0,0.0,4
LRS,5,51,1132,290,25.6,37,4,10.8,7
MergeSort,3,32,991,32,3.2,23,0,0.0,17
numZero,1,10,151,12,7.9,7,0,0.0,4
oddOrPos,1,9,361,71,19.7,7,0,0.0,6
pcal,8,204,6419,1045,16.3,136,8,5.9,52
power,1,11,268,8,3.0,9,0,0.0,8
printPrimes,2,35,715,77,10.8,25,1,4.0,6
print_tokens,17,349,4336,539,12.4,227,24,10.6,34
print_tokens2,18,275,4746,690,14.5,232,28,12.1,27
Queue,6,64,469,38,8.1,51,4,7.8,11
quicksort,1,23,1026,66,6.4,22,0,0.0,13
RecursiveSelectionSort,1,17,555,37,6.7,14,0,0.0,7
replace,20,394,11101,466,4.2,256,0,0.0,151
schedule,18,213,2109,206,9.8,148,16,10.8,44
schedule2,16,195,2627,417,15.9,143,26,18.2,42
Stack,6,56,461,53,11.5,49,9,18.4,10
stats,1,19,884,117,13.2,17,2,11.8,7
sum,1,7,165,18,10.9,5,0,0.0,5
tcas,8,63,2384,419,17.6,46,4,8.7,62
testPad,1,24,629,61,9.7,16,1,6.3,13
totinfo,7,214,6698,409,6.1,126,0,0.0,48
trashAndTakeOut,2,19,599,19,3.2,15,1,6.7,11
twoPred,1,10,246,26,10.6,7,1,14.3,9
UnixCal,4,119,4855,343,7.1,101,4,4.0,28
