Operator,NON_EQ,EQ,TOTAL
CCCR,2,0,2
CCDL,0,0,0
CCSR,11,1,12
CRCR,28,2,30
OAAA,0,0,0
OAAN,0,0,0
OABA,0,0,0
OABN,0,0,0
OAEA,0,0,0
OALN,0,0,0
OARN,0,0,0
OASA,0,0,0
OASN,0,0,0
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,2,0,2
OCOR,0,0,0
OEAA,0,0,0
OEBA,0,0,0
OESA,0,0,0
OIDO,2,0,2
OIPM,0,0,0
OLAN,0,0,0
OLBN,0,0,0
OLLN,0,0,0
OLNG,0,0,0
OLRN,0,0,0
OLSN,0,0,0
OODL,3,1,4
ORAN,9,1,10
ORBN,5,1,6
ORLN,4,0,4
ORRN,9,1,10
ORSN,4,0,4
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,0,1,1
SMTT,1,0,1
SMVB,1,0,1
SRSR,14,0,14
SSDL,8,0,8
SSWM,0,0,0
STRI,2,0,2
STRP,8,0,8
SWDD,0,1,1
VDTR,9,9,18
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,10,0,10
VLTR,0,0,0
VSCR,0,0,0
VTWD,10,2,12
VVDL,3,1,4
Total,145,21,166
