PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
CheckPalindrome;1;0;0;8;8;0;0.000000;166;145;21;0.000000;-;-;-
CheckPalindrome;1;1;4;8;5;0;0.375000;166;56;21;0.613793;2025-05-27 21:12:47.686912845+01:00;2025-05-27 21:12:47.703560083+01:00;0.016647
CheckPalindrome;1;2;3;8;1;0;0.875000;166;15;21;0.896552;2025-05-27 21:12:47.705520625+01:00;2025-05-27 21:12:47.722179124+01:00;0.016658
CheckPalindrome;1;3;2;8;1;0;0.875000;166;11;21;0.924138;2025-05-27 21:12:47.724048900+01:00;2025-05-27 21:12:47.740391326+01:00;0.016342
CheckPalindrome;1;4;1;8;0;0;1.000000;166;10;21;0.931035;2025-05-27 21:12:47.742349168+01:00;2025-05-27 21:12:47.758995909+01:00;0.016646
CheckPalindrome;2;0;0;8;8;0;0.000000;166;145;21;0.000000;-;-;-
CheckPalindrome;2;1;2;8;7;0;0.125000;166;61;21;0.579310;2025-05-27 21:12:47.828063431+01:00;2025-05-27 21:12:47.844249764+01:00;0.016186
CheckPalindrome;2;2;4;8;5;0;0.375000;166;52;21;0.641379;2025-05-27 21:12:47.846271681+01:00;2025-05-27 21:12:47.862313316+01:00;0.016041
CheckPalindrome;2;3;3;8;1;0;0.875000;166;11;21;0.924138;2025-05-27 21:12:47.864193615+01:00;2025-05-27 21:12:47.880233522+01:00;0.016039
CheckPalindrome;2;4;1;8;0;0;1.000000;166;10;21;0.931035;2025-05-27 21:12:47.882149167+01:00;2025-05-27 21:12:47.898478098+01:00;0.016328
CheckPalindrome;3;0;0;8;8;0;0.000000;166;145;21;0.000000;-;-;-
CheckPalindrome;3;1;3;8;3;0;0.625000;166;79;21;0.455172;2025-05-27 21:12:47.967829271+01:00;2025-05-27 21:12:47.984220455+01:00;0.016391
CheckPalindrome;3;2;1;8;2;0;0.750000;166;70;21;0.517241;2025-05-27 21:12:47.986139028+01:00;2025-05-27 21:12:48.002440235+01:00;0.016301
CheckPalindrome;3;3;2;8;2;0;0.750000;166;15;21;0.896552;2025-05-27 21:12:48.004306736+01:00;2025-05-27 21:12:48.020346367+01:00;0.016039
CheckPalindrome;3;4;4;8;0;0;1.000000;166;10;21;0.931035;2025-05-27 21:12:48.022269581+01:00;2025-05-27 21:12:48.038374017+01:00;0.016104
CheckPalindrome;4;0;0;8;8;0;0.000000;166;145;21;0.000000;-;-;-
CheckPalindrome;4;1;3;8;3;0;0.625000;166;79;21;0.455172;2025-05-27 21:12:48.107525698+01:00;2025-05-27 21:12:48.123886338+01:00;0.01636
CheckPalindrome;4;2;1;8;2;0;0.750000;166;70;21;0.517241;2025-05-27 21:12:48.125824540+01:00;2025-05-27 21:12:48.143242052+01:00;0.017417
CheckPalindrome;4;3;4;8;0;0;1.000000;166;13;21;0.910345;2025-05-27 21:12:48.145133344+01:00;2025-05-27 21:12:48.161159430+01:00;0.016026
CheckPalindrome;4;4;2;8;0;0;1.000000;166;10;21;0.931035;2025-05-27 21:12:48.162991976+01:00;2025-05-27 21:12:48.178957130+01:00;0.015965
CheckPalindrome;5;0;0;8;8;0;0.000000;166;145;21;0.000000;-;-;-
CheckPalindrome;5;1;2;8;7;0;0.125000;166;61;21;0.579310;2025-05-27 21:12:48.249994872+01:00;2025-05-27 21:12:48.266558747+01:00;0.016563
CheckPalindrome;5;2;4;8;5;0;0.375000;166;52;21;0.641379;2025-05-27 21:12:48.268564213+01:00;2025-05-27 21:12:48.285235392+01:00;0.016671
CheckPalindrome;5;3;1;8;4;0;0.500000;166;47;21;0.675862;2025-05-27 21:12:48.287214493+01:00;2025-05-27 21:12:48.303603200+01:00;0.016388
CheckPalindrome;5;4;3;8;0;0;1.000000;166;10;21;0.931035;2025-05-27 21:12:48.305633022+01:00;2025-05-27 21:12:48.322251948+01:00;0.016618
CheckPalindrome;6;0;0;8;8;0;0.000000;166;145;21;0.000000;-;-;-
CheckPalindrome;6;1;2;8;7;0;0.125000;166;61;21;0.579310;2025-05-27 21:12:48.393946630+01:00;2025-05-27 21:12:48.410938986+01:00;0.016992
CheckPalindrome;6;2;4;8;5;0;0.375000;166;52;21;0.641379;2025-05-27 21:12:48.412854529+01:00;2025-05-27 21:12:48.429320815+01:00;0.016466
CheckPalindrome;6;3;3;8;1;0;0.875000;166;11;21;0.924138;2025-05-27 21:12:48.431221639+01:00;2025-05-27 21:12:48.447484232+01:00;0.016262
CheckPalindrome;6;4;1;8;0;0;1.000000;166;10;21;0.931035;2025-05-27 21:12:48.449348335+01:00;2025-05-27 21:12:48.466764313+01:00;0.017415
CheckPalindrome;7;0;0;8;8;0;0.000000;166;145;21;0.000000;-;-;-
CheckPalindrome;7;1;4;8;5;0;0.375000;166;56;21;0.613793;2025-05-27 21:12:48.536565221+01:00;2025-05-27 21:12:48.552787868+01:00;0.016222
CheckPalindrome;7;2;2;8;5;0;0.375000;166;52;21;0.641379;2025-05-27 21:12:48.554813536+01:00;2025-05-27 21:12:48.571356383+01:00;0.016542
CheckPalindrome;7;3;3;8;1;0;0.875000;166;11;21;0.924138;2025-05-27 21:12:48.573267827+01:00;2025-05-27 21:12:48.589651056+01:00;0.016383
CheckPalindrome;7;4;1;8;0;0;1.000000;166;10;21;0.931035;2025-05-27 21:12:48.591690187+01:00;2025-05-27 21:12:48.608074145+01:00;0.016383
CheckPalindrome;8;0;0;8;8;0;0.000000;166;145;21;0.000000;-;-;-
CheckPalindrome;8;1;2;8;7;0;0.125000;166;61;21;0.579310;2025-05-27 21:12:48.677165540+01:00;2025-05-27 21:12:48.693084907+01:00;0.015919
CheckPalindrome;8;2;4;8;5;0;0.375000;166;52;21;0.641379;2025-05-27 21:12:48.694987640+01:00;2025-05-27 21:12:48.711208923+01:00;0.016221
CheckPalindrome;8;3;1;8;4;0;0.500000;166;47;21;0.675862;2025-05-27 21:12:48.713130686+01:00;2025-05-27 21:12:48.729410291+01:00;0.016279
CheckPalindrome;8;4;3;8;0;0;1.000000;166;10;21;0.931035;2025-05-27 21:12:48.731412348+01:00;2025-05-27 21:12:48.747388421+01:00;0.015976
CheckPalindrome;9;0;0;8;8;0;0.000000;166;145;21;0.000000;-;-;-
CheckPalindrome;9;1;4;8;5;0;0.375000;166;56;21;0.613793;2025-05-27 21:12:48.816788227+01:00;2025-05-27 21:12:48.833008509+01:00;0.01622
CheckPalindrome;9;2;2;8;5;0;0.375000;166;52;21;0.641379;2025-05-27 21:12:48.834837296+01:00;2025-05-27 21:12:48.850974188+01:00;0.016136
CheckPalindrome;9;3;1;8;4;0;0.500000;166;47;21;0.675862;2025-05-27 21:12:48.852892139+01:00;2025-05-27 21:12:48.869041201+01:00;0.016149
CheckPalindrome;9;4;3;8;0;0;1.000000;166;10;21;0.931035;2025-05-27 21:12:48.870863724+01:00;2025-05-27 21:12:48.887260430+01:00;0.016396
CheckPalindrome;10;0;0;8;8;0;0.000000;166;145;21;0.000000;-;-;-
CheckPalindrome;10;1;1;8;7;0;0.125000;166;129;21;0.110345;2025-05-27 21:12:48.956028678+01:00;2025-05-27 21:12:48.972284662+01:00;0.016255
CheckPalindrome;10;2;4;8;4;0;0.500000;166;50;21;0.655172;2025-05-27 21:12:48.974164479+01:00;2025-05-27 21:12:48.990110597+01:00;0.015946
CheckPalindrome;10;3;2;8;4;0;0.500000;166;47;21;0.675862;2025-05-27 21:12:48.991993234+01:00;2025-05-27 21:12:49.008491719+01:00;0.016498
CheckPalindrome;10;4;3;8;0;0;1.000000;166;10;21;0.931035;2025-05-27 21:12:49.010367648+01:00;2025-05-27 21:12:49.026416584+01:00;0.016048
