2025-05-27 21:13:00.800281532+01:00;START ITERATION 9 WITH TEST CASE ORDER: 2 1
2025-05-27 21:13:00.801077605+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:00.812623136+01:00;ENABLE TEST CASE 2
2025-05-27 21:13:00.813750855+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:00.815907421+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:00.817607841+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:00.819057513+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:00.820930177+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:00.824264617+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:00.826473360+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:00.828744537+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:00.830210643+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:00.834767018+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:00.835901675+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:00.838064470+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:00.839731005+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:00.841311808+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:00.843138183+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:00.846438323+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:00.848597260+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:00.850782524+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:00.852307869+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:00.854824346+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:00.859135031+01:00;END ITERATION 9 WITH TEST CASE ORDER: 2 1
