Operator,NON_EQ,EQ,TOTAL
CCCR,17,0,17
CCDL,5,0,5
CCSR,53,0,53
CRCR,257,0,257
OAAA,4,0,4
OAAN,50,1,51
OABA,3,0,3
OABN,0,0,0
OAEA,1,0,1
OALN,34,0,34
OARN,102,0,102
OASA,2,0,2
OASN,0,0,0
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,5,0,5
OCOR,0,0,0
OEAA,13,0,13
OEBA,3,0,3
OESA,2,0,2
OIDO,0,0,0
OIPM,0,0,0
OLAN,0,0,0
OLBN,0,0,0
OLLN,0,0,0
OLNG,0,0,0
OLRN,0,0,0
OLSN,0,0,0
OODL,48,0,48
ORAN,19,1,20
ORBN,0,0,0
ORLN,10,0,10
ORRN,22,3,25
ORSN,0,0,0
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,1,0,1
SMTT,1,0,1
SMVB,1,0,1
SRSR,38,4,42
SSDL,24,0,24
SSWM,0,0,0
STRI,8,0,8
STRP,24,0,24
SWDD,0,0,0
VDTR,97,14,111
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,119,2,121
VLTR,0,0,0
VSCR,0,0,0
VTWD,71,3,74
VVDL,24,0,24
Total,1058,28,1086
