2025-05-27 21:13:04.816729780+01:00;START ITERATION 8 WITH TEST CASE ORDER: 6 5 1 4 7
2025-05-27 21:13:04.817394159+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:04.834413532+01:00;ENABLE TEST CASE 6
2025-05-27 21:13:04.835550088+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:04.838992960+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:04.841241829+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:04.843158371+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:04.845764660+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:04.849927607+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:04.853512539+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:04.857235523+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:04.859008873+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:04.864228196+01:00;ENABLE TEST CASE 5
2025-05-27 21:13:04.865353680+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:04.868885114+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:04.871122481+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:04.872981965+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:04.875497612+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:04.879554639+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:04.883007377+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:04.886786573+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:04.888647656+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:04.893794447+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:04.894877402+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:04.898275919+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:04.900495604+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:04.902404899+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:04.904919445+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:04.908915227+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:04.912388491+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:04.916048528+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:04.917881244+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:04.923126142+01:00;ENABLE TEST CASE 4
2025-05-27 21:13:04.924214709+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:04.927712123+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:04.929925817+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:04.931815501+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:04.934320088+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:04.938385105+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:04.941833937+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:04.945424461+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:04.947293743+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:04.952463097+01:00;ENABLE TEST CASE 7
2025-05-27 21:13:04.953657955+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:04.957073439+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:04.959410865+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:04.961239667+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:04.963809724+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:04.967744215+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:04.971198909+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:04.974779700+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:04.976673179+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:04.979842166+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:04.986776407+01:00;END ITERATION 8 WITH TEST CASE ORDER: 6 5 1 4 7
