PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
Gaussian;1;0;0;24;24;0;0.000000;1086;1058;28;0.000000;-;-;-
Gaussian;1;1;7;24;8;0;0.666667;1086;258;28;0.756144;2025-05-27 21:13:03.193985119+01:00;2025-05-27 21:13:03.222435951+01:00;0.02845
Gaussian;1;2;4;24;6;0;0.750000;1086;174;28;0.835539;2025-05-27 21:13:03.224478102+01:00;2025-05-27 21:13:03.252662429+01:00;0.028184
Gaussian;1;3;5;24;4;0;0.833333;1086;151;28;0.857278;2025-05-27 21:13:03.254555138+01:00;2025-05-27 21:13:03.282131069+01:00;0.027575
Gaussian;1;4;6;24;2;0;0.916667;1086;126;28;0.880907;2025-05-27 21:13:03.284004525+01:00;2025-05-27 21:13:03.312022616+01:00;0.028018
Gaussian;1;5;1;24;0;0;1.000000;1086;33;28;0.968809;2025-05-27 21:13:03.313967484+01:00;2025-05-27 21:13:03.341453990+01:00;0.027486
Gaussian;2;0;0;24;24;0;0.000000;1086;1058;28;0.000000;-;-;-
Gaussian;2;1;6;24;12;0;0.500000;1086;462;28;0.563327;2025-05-27 21:13:03.427119178+01:00;2025-05-27 21:13:03.455124058+01:00;0.028004
Gaussian;2;2;4;24;12;0;0.500000;1086;444;28;0.580340;2025-05-27 21:13:03.457016510+01:00;2025-05-27 21:13:03.484735698+01:00;0.027719
Gaussian;2;3;1;24;10;0;0.583333;1086;351;28;0.668242;2025-05-27 21:13:03.486752489+01:00;2025-05-27 21:13:03.514590301+01:00;0.027837
Gaussian;2;4;7;24;2;0;0.916667;1086;55;28;0.948015;2025-05-27 21:13:03.516538154+01:00;2025-05-27 21:13:03.544274561+01:00;0.027736
Gaussian;2;5;5;24;0;0;1.000000;1086;33;28;0.968809;2025-05-27 21:13:03.546223767+01:00;2025-05-27 21:13:03.574072202+01:00;0.027848
Gaussian;3;0;0;24;24;0;0.000000;1086;1058;28;0.000000;-;-;-
Gaussian;3;1;4;24;14;0;0.416667;1086;471;28;0.554820;2025-05-27 21:13:03.659853698+01:00;2025-05-27 21:13:03.687325197+01:00;0.027471
Gaussian;3;2;1;24;12;0;0.500000;1086;378;28;0.642722;2025-05-27 21:13:03.689241090+01:00;2025-05-27 21:13:03.716880039+01:00;0.027638
Gaussian;3;3;6;24;10;0;0.583333;1086;351;28;0.668242;2025-05-27 21:13:03.718777796+01:00;2025-05-27 21:13:03.746184817+01:00;0.027407
Gaussian;3;4;7;24;2;0;0.916667;1086;55;28;0.948015;2025-05-27 21:13:03.748136342+01:00;2025-05-27 21:13:03.775713598+01:00;0.027577
Gaussian;3;5;5;24;0;0;1.000000;1086;33;28;0.968809;2025-05-27 21:13:03.777541710+01:00;2025-05-27 21:13:03.804934737+01:00;0.027393
Gaussian;4;0;0;24;24;0;0.000000;1086;1058;28;0.000000;-;-;-
Gaussian;4;1;7;24;8;0;0.666667;1086;258;28;0.756144;2025-05-27 21:13:03.889884657+01:00;2025-05-27 21:13:03.917871071+01:00;0.027986
Gaussian;4;2;4;24;6;0;0.750000;1086;174;28;0.835539;2025-05-27 21:13:03.919820486+01:00;2025-05-27 21:13:03.947407328+01:00;0.027586
Gaussian;4;3;6;24;4;0;0.833333;1086;148;28;0.860113;2025-05-27 21:13:03.949311375+01:00;2025-05-27 21:13:03.977125941+01:00;0.027814
Gaussian;4;4;1;24;2;0;0.916667;1086;55;28;0.948015;2025-05-27 21:13:03.978972937+01:00;2025-05-27 21:13:04.007018584+01:00;0.028045
Gaussian;4;5;5;24;0;0;1.000000;1086;33;28;0.968809;2025-05-27 21:13:04.008876504+01:00;2025-05-27 21:13:04.036885174+01:00;0.028008
Gaussian;5;0;0;24;24;0;0.000000;1086;1058;28;0.000000;-;-;-
Gaussian;5;1;1;24;20;0;0.166667;1086;880;28;0.168242;2025-05-27 21:13:04.123092895+01:00;2025-05-27 21:13:04.150738074+01:00;0.027645
Gaussian;5;2;6;24;10;0;0.583333;1086;367;28;0.653119;2025-05-27 21:13:04.152621228+01:00;2025-05-27 21:13:04.180506347+01:00;0.027885
Gaussian;5;3;5;24;8;0;0.666667;1086;329;28;0.689036;2025-05-27 21:13:04.182469004+01:00;2025-05-27 21:13:04.210876104+01:00;0.028407
Gaussian;5;4;4;24;8;0;0.666667;1086;329;28;0.689036;2025-05-27 21:13:04.212804864+01:00;2025-05-27 21:13:04.240925687+01:00;0.02812
Gaussian;5;5;7;24;0;0;1.000000;1086;33;28;0.968809;2025-05-27 21:13:04.243038906+01:00;2025-05-27 21:13:04.271140724+01:00;0.028101
Gaussian;6;0;0;24;24;0;0.000000;1086;1058;28;0.000000;-;-;-
Gaussian;6;1;1;24;20;0;0.166667;1086;880;28;0.168242;2025-05-27 21:13:04.358908174+01:00;2025-05-27 21:13:04.387341047+01:00;0.028432
Gaussian;6;2;5;24;10;0;0.583333;1086;368;28;0.652174;2025-05-27 21:13:04.389341787+01:00;2025-05-27 21:13:04.418736574+01:00;0.029394
Gaussian;6;3;4;24;10;0;0.583333;1086;354;28;0.665406;2025-05-27 21:13:04.421091829+01:00;2025-05-27 21:13:04.449268157+01:00;0.028176
Gaussian;6;4;7;24;2;0;0.916667;1086;58;28;0.945180;2025-05-27 21:13:04.451173862+01:00;2025-05-27 21:13:04.480188365+01:00;0.029014
Gaussian;6;5;6;24;0;0;1.000000;1086;33;28;0.968809;2025-05-27 21:13:04.482145320+01:00;2025-05-27 21:13:04.510795494+01:00;0.02865
Gaussian;7;0;0;24;24;0;0.000000;1086;1058;28;0.000000;-;-;-
Gaussian;7;1;7;24;8;0;0.666667;1086;258;28;0.756144;2025-05-27 21:13:04.598922717+01:00;2025-05-27 21:13:04.627328249+01:00;0.028405
Gaussian;7;2;6;24;4;0;0.833333;1086;149;28;0.859168;2025-05-27 21:13:04.629455536+01:00;2025-05-27 21:13:04.657682614+01:00;0.028227
Gaussian;7;3;1;24;2;0;0.916667;1086;56;28;0.947070;2025-05-27 21:13:04.659750664+01:00;2025-05-27 21:13:04.687425494+01:00;0.027674
Gaussian;7;4;5;24;0;0;1.000000;1086;33;28;0.968809;2025-05-27 21:13:04.689480736+01:00;2025-05-27 21:13:04.717693513+01:00;0.028212
Gaussian;7;5;4;24;0;0;1.000000;1086;33;28;0.968809;2025-05-27 21:13:04.719622593+01:00;2025-05-27 21:13:04.747632341+01:00;0.028009
Gaussian;8;0;0;24;24;0;0.000000;1086;1058;28;0.000000;-;-;-
Gaussian;8;1;6;24;12;0;0.500000;1086;462;28;0.563327;2025-05-27 21:13:04.833760648+01:00;2025-05-27 21:13:04.861583847+01:00;0.027823
Gaussian;8;2;5;24;10;0;0.583333;1086;422;28;0.601134;2025-05-27 21:13:04.863500905+01:00;2025-05-27 21:13:04.891222240+01:00;0.027721
Gaussian;8;3;1;24;8;0;0.666667;1086;329;28;0.689036;2025-05-27 21:13:04.893116465+01:00;2025-05-27 21:13:04.920463490+01:00;0.027347
Gaussian;8;4;4;24;8;0;0.666667;1086;329;28;0.689036;2025-05-27 21:13:04.922437300+01:00;2025-05-27 21:13:04.949863291+01:00;0.027425
Gaussian;8;5;7;24;0;0;1.000000;1086;33;28;0.968809;2025-05-27 21:13:04.951824794+01:00;2025-05-27 21:13:04.979270741+01:00;0.027445
Gaussian;9;0;0;24;24;0;0.000000;1086;1058;28;0.000000;-;-;-
Gaussian;9;1;4;24;14;0;0.416667;1086;471;28;0.554820;2025-05-27 21:13:05.064784603+01:00;2025-05-27 21:13:05.092680113+01:00;0.027895
Gaussian;9;2;1;24;12;0;0.500000;1086;378;28;0.642722;2025-05-27 21:13:05.094700301+01:00;2025-05-27 21:13:05.122372496+01:00;0.027672
