2025-05-27 21:13:05.523410659+01:00;START ITERATION 1 WITH TEST CASE ORDER: 3 2 1
2025-05-27 21:13:05.524124929+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:05.541375842+01:00;ENABLE TEST CASE 3
2025-05-27 21:13:05.542531547+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:05.546210795+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:05.548507828+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:05.550349923+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:05.552954803+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:05.556955818+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:05.560547613+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:05.564094321+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:05.565920800+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:05.571199716+01:00;ENABLE TEST CASE 2
2025-05-27 21:13:05.572279070+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:05.575902448+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:05.578156234+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:05.579932292+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:05.582892448+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:05.586912690+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:05.590454401+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:05.594021515+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:05.595833518+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:05.601037352+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:05.602124107+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:05.605571717+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:05.607854634+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:05.609690528+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:05.612252376+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:05.616328688+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:05.619898708+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:05.623491605+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:05.625248836+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:05.628529569+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:05.635495568+01:00;END ITERATION 1 WITH TEST CASE ORDER: 3 2 1
