PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
Heap;1;0;0;38;36;2;0.000000;1079;975;104;0.000000;-;-;-
Heap;1;1;3;38;7;2;0.805556;1079;192;104;0.803077;2025-05-27 21:13:05.540654071+01:00;2025-05-27 21:13:05.568536705+01:00;0.027882
Heap;1;2;2;38;0;2;1.000000;1079;52;104;0.946667;2025-05-27 21:13:05.570475748+01:00;2025-05-27 21:13:05.598427469+01:00;0.027951
Heap;1;3;1;38;0;2;1.000000;1079;50;104;0.948718;2025-05-27 21:13:05.600333404+01:00;2025-05-27 21:13:05.627869676+01:00;0.027536
Heap;2;0;0;38;36;2;0.000000;1079;975;104;0.000000;-;-;-
Heap;2;1;2;38;5;2;0.861111;1079;117;104;0.880000;2025-05-27 21:13:05.713317569+01:00;2025-05-27 21:13:05.741238528+01:00;0.02792
Heap;2;2;1;38;5;2;0.861111;1079;114;104;0.883077;2025-05-27 21:13:05.743151287+01:00;2025-05-27 21:13:05.770810218+01:00;0.027658
Heap;2;3;3;38;0;2;1.000000;1079;50;104;0.948718;2025-05-27 21:13:05.772681616+01:00;2025-05-27 21:13:05.800232241+01:00;0.02755
Heap;3;0;0;38;36;2;0.000000;1079;975;104;0.000000;-;-;-
Heap;3;1;2;38;5;2;0.861111;1079;117;104;0.880000;2025-05-27 21:13:05.885973718+01:00;2025-05-27 21:13:05.914120245+01:00;0.028146
Heap;3;2;1;38;5;2;0.861111;1079;114;104;0.883077;2025-05-27 21:13:05.916135279+01:00;2025-05-27 21:13:05.944341128+01:00;0.028205
Heap;3;3;3;38;0;2;1.000000;1079;50;104;0.948718;2025-05-27 21:13:05.946363494+01:00;2025-05-27 21:13:05.974337346+01:00;0.027973
Heap;4;0;0;38;36;2;0.000000;1079;975;104;0.000000;-;-;-
Heap;4;1;1;38;23;2;0.361111;1079;638;104;0.345641;2025-05-27 21:13:06.060431787+01:00;2025-05-27 21:13:06.087933210+01:00;0.027501
Heap;4;2;3;38;4;2;0.888889;1079;149;104;0.847179;2025-05-27 21:13:06.089794815+01:00;2025-05-27 21:13:06.117394293+01:00;0.027599
