2025-05-27 21:13:07.454658028+01:00;START ITERATION 2 WITH TEST CASE ORDER: 1 2 5 3 4
2025-05-27 21:13:07.455366546+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:07.467706305+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:07.468893214+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:07.471372085+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:07.473184901+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:07.474731789+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:07.476751486+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:07.480304760+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:07.482758258+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:07.485191708+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:07.486721619+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:07.491499845+01:00;ENABLE TEST CASE 2
2025-05-27 21:13:07.492686433+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:07.495151983+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:07.496978959+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:07.498617915+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:07.500676509+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:07.504274294+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:07.506738121+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:07.509333189+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:07.510818983+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:07.515575042+01:00;ENABLE TEST CASE 5
2025-05-27 21:13:07.516744076+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:07.519309281+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:07.521092932+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:07.522662375+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:07.524727908+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:07.528418148+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:07.530956146+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:07.533406857+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:07.535023232+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:07.539964150+01:00;ENABLE TEST CASE 3
2025-05-27 21:13:07.541184329+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:07.543603801+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:07.545408106+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:07.547042822+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:07.549061715+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:07.552653577+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:07.555056947+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:07.557595297+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:07.559364630+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:07.564218653+01:00;ENABLE TEST CASE 4
2025-05-27 21:13:07.565507698+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:07.568044310+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:07.569915455+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:07.571434848+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:07.573601516+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:07.577243008+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:07.579691856+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:07.582172840+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:07.583772194+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:07.586632493+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:07.591421256+01:00;END ITERATION 2 WITH TEST CASE ORDER: 1 2 5 3 4
