PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
InversePermutation;1;0;0;13;13;0;0.000000;576;515;61;0.000000;-;-;-
InversePermutation;1;1;1;13;11;0;0.153846;576;458;61;0.110680;2025-05-27 21:13:07.274394285+01:00;2025-05-27 21:13:07.295934048+01:00;0.021539
InversePermutation;1;2;4;13;4;0;0.692308;576;333;61;0.353398;2025-05-27 21:13:07.297819660+01:00;2025-05-27 21:13:07.319565077+01:00;0.021745
InversePermutation;1;3;2;13;2;0;0.846154;576;185;61;0.640777;2025-05-27 21:13:07.321506229+01:00;2025-05-27 21:13:07.342957919+01:00;0.021451
InversePermutation;1;4;5;13;0;0;1.000000;576;62;61;0.879612;2025-05-27 21:13:07.344887964+01:00;2025-05-27 21:13:07.366364569+01:00;0.021476
InversePermutation;1;5;3;13;0;0;1.000000;576;34;61;0.933981;2025-05-27 21:13:07.368235610+01:00;2025-05-27 21:13:07.389743374+01:00;0.021507
InversePermutation;2;0;0;13;13;0;0.000000;576;515;61;0.000000;-;-;-
InversePermutation;2;1;1;13;11;0;0.153846;576;458;61;0.110680;2025-05-27 21:13:07.467010655+01:00;2025-05-27 21:13:07.488730354+01:00;0.021719
InversePermutation;2;2;2;13;9;0;0.307692;576;272;61;0.471845;2025-05-27 21:13:07.490770676+01:00;2025-05-27 21:13:07.512889098+01:00;0.022118
InversePermutation;2;3;5;13;7;0;0.461538;576;136;61;0.735922;2025-05-27 21:13:07.514848023+01:00;2025-05-27 21:13:07.537162932+01:00;0.022314
InversePermutation;2;4;3;13;1;0;0.923077;576;70;61;0.864078;2025-05-27 21:13:07.539282940+01:00;2025-05-27 21:13:07.561426989+01:00;0.022144
InversePermutation;2;5;4;13;0;0;1.000000;576;34;61;0.933981;2025-05-27 21:13:07.563498954+01:00;2025-05-27 21:13:07.585898702+01:00;0.022399
InversePermutation;3;0;0;13;13;0;0.000000;576;515;61;0.000000;-;-;-
InversePermutation;3;1;3;13;6;0;0.538462;576;399;61;0.225243;2025-05-27 21:13:07.662729676+01:00;2025-05-27 21:13:07.684766257+01:00;0.022036
InversePermutation;3;2;1;13;5;0;0.615385;576;355;61;0.310680;2025-05-27 21:13:07.686821308+01:00;2025-05-27 21:13:07.708746287+01:00;0.021924
InversePermutation;3;3;5;13;1;0;0.923077;576;72;61;0.860194;2025-05-27 21:13:07.710792918+01:00;2025-05-27 21:13:07.732027701+01:00;0.021234
InversePermutation;3;4;4;13;0;0;1.000000;576;36;61;0.930097;2025-05-27 21:13:07.733899789+01:00;2025-05-27 21:13:07.756051774+01:00;0.022151
InversePermutation;3;5;2;13;0;0;1.000000;576;34;61;0.933981;2025-05-27 21:13:07.758002923+01:00;2025-05-27 21:13:07.779783185+01:00;0.02178
InversePermutation;4;0;0;13;13;0;0.000000;576;515;61;0.000000;-;-;-
