2025-05-27 21:13:14.614943082+01:00;START ITERATION 5 WITH TEST CASE ORDER: 1 2 3
2025-05-27 21:13:14.615635425+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:14.632872141+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:14.633981364+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:14.637664270+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:14.640225706+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:14.642072737+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:14.644777818+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:14.648835566+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:14.652389884+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:14.655747758+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:14.657681896+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:14.662944962+01:00;ENABLE TEST CASE 2
2025-05-27 21:13:14.664070006+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:14.667846600+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:14.670202416+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:14.672023795+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:14.674714422+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:14.678875464+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:14.682471895+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:14.685835969+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:14.687660155+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:14.693252320+01:00;ENABLE TEST CASE 3
2025-05-27 21:13:14.694459248+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:14.697960992+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:14.700272630+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:14.702190447+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:14.704875003+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:14.709000317+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:14.712703455+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:14.716183606+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:14.717967701+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:14.721314840+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:14.728228010+01:00;END ITERATION 5 WITH TEST CASE ORDER: 1 2 3
