Operator,NON_EQ,EQ,TOTAL
CCCR,16,0,16
CCDL,5,0,5
CCSR,24,0,24
CRCR,155,0,155
OAAA,0,0,0
OAAN,24,0,24
OABA,0,0,0
OABN,18,0,18
OAEA,0,0,0
OALN,12,0,12
OARN,36,0,36
OASA,0,0,0
OASN,12,0,12
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,6,0,6
OCOR,0,0,0
OEAA,25,0,25
OEBA,15,0,15
OESA,10,0,10
OIDO,17,0,17
OIPM,0,0,0
OLAN,4,1,5
OLBN,2,1,3
OLLN,1,0,1
OLNG,3,0,3
OLRN,6,0,6
OLSN,2,0,2
OODL,28,0,28
ORAN,35,0,35
ORBN,21,0,21
ORLN,14,0,14
ORRN,34,1,35
ORSN,13,1,14
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,4,0,4
SMTT,4,0,4
SMVB,1,0,1
SRSR,23,0,23
SSDL,23,0,23
SSWM,0,0,0
STRI,4,0,4
STRP,23,0,23
SWDD,4,0,4
VDTR,69,24,93
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,6,0,6
VLPR,22,0,22
VLSR,158,1,159
VLTR,0,0,0
VSCR,0,0,0
VTWD,59,3,62
VVDL,21,0,21
Total,959,32,991
