2025-05-27 21:13:16.530557938+01:00;START ITERATION 6 WITH TEST CASE ORDER: 3 2 10
2025-05-27 21:13:16.531284703+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:16.547541371+01:00;ENABLE TEST CASE 3
2025-05-27 21:13:16.548748514+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:16.552000162+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:16.554204305+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:16.556047912+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:16.558533175+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:16.562579395+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:16.565870776+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:16.569472154+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:16.571257273+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:16.576226331+01:00;ENABLE TEST CASE 2
2025-05-27 21:13:16.577454502+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:16.580694652+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:16.582837636+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:16.584600382+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:16.587797423+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:16.591791546+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:16.595235936+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:16.598750913+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:16.600499679+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:16.605564623+01:00;ENABLE TEST CASE 10
2025-05-27 21:13:16.606688447+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:16.609975668+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:16.612202879+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:16.613915997+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:16.616412799+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:16.620394920+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:16.623765003+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:16.627255222+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:16.629118855+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:16.632565021+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:16.639812367+01:00;END ITERATION 6 WITH TEST CASE ORDER: 3 2 10
