Operator,NON_EQ,EQ,TOTAL
CCCR,0,0,0
CCDL,1,1,2
CCSR,17,0,17
CRCR,112,1,113
OAAA,0,0,0
OAAN,6,2,8
OABA,0,0,0
OABN,5,1,6
OAEA,0,0,0
OALN,4,0,4
OARN,12,0,12
OASA,0,0,0
OASN,4,0,4
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,3,0,3
OCOR,0,0,0
OEAA,31,0,31
OEBA,9,0,9
OESA,6,0,6
OIDO,1,0,1
OIPM,0,0,0
OLAN,0,0,0
OLBN,0,0,0
OLLN,0,0,0
OLNG,0,0,0
OLRN,0,0,0
OLSN,0,0,0
OODL,9,1,10
ORAN,14,0,14
ORBN,6,0,6
ORLN,6,0,6
ORRN,13,2,15
ORSN,4,0,4
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,1,0,1
SMTT,1,0,1
SMVB,1,0,1
SRSR,14,0,14
SSDL,14,0,14
SSWM,0,0,0
STRI,4,0,4
STRP,14,0,14
SWDD,0,0,0
VDTR,40,23,63
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,121,1,122
VLTR,0,0,0
VSCR,0,0,0
VTWD,37,5,42
VVDL,8,0,8
Total,518,37,555
