2025-05-27 21:13:58.341656347+01:00;START ITERATION 3 WITH TEST CASE ORDER: 2 4 5
2025-05-27 21:13:58.342381829+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:58.354589894+01:00;ENABLE TEST CASE 2
2025-05-27 21:13:58.355739025+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:58.358104855+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:58.359799283+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:58.361320947+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:58.363258433+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:58.366655489+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:58.369186889+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:58.371498341+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:58.373123215+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:58.377638651+01:00;ENABLE TEST CASE 4
2025-05-27 21:13:58.378765372+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:58.381135349+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:58.382759376+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:58.384310481+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:58.386263413+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:58.389767822+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:58.392260824+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:58.394628714+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:58.396190332+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:58.400620217+01:00;ENABLE TEST CASE 5
2025-05-27 21:13:58.401747986+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:58.404113976+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:58.405849348+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:58.407368584+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:58.409256253+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:58.412651278+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:58.414958744+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:58.417288621+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:58.418812294+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:58.421434396+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:58.425901921+01:00;END ITERATION 3 WITH TEST CASE ORDER: 2 4 5
