Operator,NON_EQ,EQ,TOTAL
CCCR,4,2,6
CCDL,2,0,2
CCSR,10,0,10
CRCR,35,0,35
OAAA,0,0,0
OAAN,0,0,0
OABA,0,0,0
OABN,0,0,0
OAEA,0,0,0
OALN,0,0,0
OARN,0,0,0
OASA,0,0,0
OASN,0,0,0
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,9,0,9
OCOR,0,0,0
OEAA,11,1,12
OEBA,4,2,6
OESA,4,0,4
OIDO,3,0,3
OIPM,0,0,0
OLAN,0,0,0
OLBN,0,0,0
OLLN,0,0,0
OLNG,0,0,0
OLRN,0,0,0
OLSN,0,0,0
OODL,10,6,16
ORAN,10,0,10
ORBN,6,0,6
ORLN,8,6,14
ORRN,27,8,35
ORSN,4,0,4
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,1,0,1
SMTT,1,0,1
SMVB,2,0,2
SRSR,63,8,71
SSDL,40,9,49
SSWM,0,0,0
STRI,15,1,16
STRP,46,3,49
SWDD,1,0,1
VDTR,17,4,21
VGAR,0,0,0
VGPR,0,0,0
VGSR,37,2,39
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,10,0,10
VLTR,0,0,0
VSCR,8,0,8
VTWD,14,0,14
VVDL,6,1,7
Total,408,53,461
