2025-05-27 21:15:01.914035392+01:00;START ITERATION 6 WITH TEST CASE ORDER: 7 2 10 4 3 1
2025-05-27 21:15:01.914747537+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:15:01.926275930+01:00;ENABLE TEST CASE 7
2025-05-27 21:15:01.927487752+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:01.929730864+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:01.931548582+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:01.933093679+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:01.935030271+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:01.938434478+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:01.940614392+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:01.942685566+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:01.944165357+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:01.948591057+01:00;ENABLE TEST CASE 2
2025-05-27 21:15:01.949706971+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:01.951814779+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:01.953533100+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:01.954953134+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:01.956797303+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:01.960198759+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:01.962323083+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:01.964444280+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:01.965959981+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:01.970426865+01:00;ENABLE TEST CASE 10
2025-05-27 21:15:01.971563687+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:01.973741788+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:01.975387683+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:01.976804456+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:01.978682984+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:01.982167328+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:01.984366295+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:01.986611065+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:01.988163271+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:01.992793452+01:00;ENABLE TEST CASE 4
2025-05-27 21:15:01.993970274+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:01.996150246+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:01.997921034+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:01.999553895+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:02.001446736+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:02.004886679+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:02.007068825+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:02.009271245+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:02.010732335+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:02.015199909+01:00;ENABLE TEST CASE 3
2025-05-27 21:15:02.016325745+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:02.018376242+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:02.020036776+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:02.021480024+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:02.023427972+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:02.026767586+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:02.028805289+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:02.030886427+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:02.032378592+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:02.036856701+01:00;ENABLE TEST CASE 1
2025-05-27 21:15:02.037955295+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:02.040053378+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:02.041756515+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:02.043288390+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:02.045252230+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:02.048755394+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:02.050889444+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:02.053118390+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:02.054552564+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:02.057187477+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:15:02.061355131+01:00;END ITERATION 6 WITH TEST CASE ORDER: 7 2 10 4 3 1
