2025-05-27 21:15:28.084705208+01:00;START ITERATION 10 WITH TEST CASE ORDER: 9 4 3 1 5 6 8 2
2025-05-27 21:15:28.085489320+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:15:28.138623584+01:00;ENABLE TEST CASE 9
2025-05-27 21:15:28.139715019+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:28.151878347+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:28.158232152+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:28.162720227+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:28.169959134+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:28.178843918+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:28.190912944+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:28.203082093+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:28.207598051+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:28.217722205+01:00;ENABLE TEST CASE 4
2025-05-27 21:15:28.218823239+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:28.231299628+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:28.237504656+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:28.242063109+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:28.249332038+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:28.258449457+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:28.270553384+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:28.282824708+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:28.287255959+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:28.297352863+01:00;ENABLE TEST CASE 3
2025-05-27 21:15:28.298490450+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:28.310698412+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:28.316993044+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:28.321504282+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:28.329400919+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:28.338461606+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:28.350772077+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:28.362904444+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:28.367356992+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:28.377306983+01:00;ENABLE TEST CASE 1
2025-05-27 21:15:28.378435143+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:28.390564209+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:28.396774768+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:28.401195017+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:28.408335954+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:28.417373652+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:28.429530341+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:28.441658965+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:28.446137634+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:28.456323027+01:00;ENABLE TEST CASE 5
2025-05-27 21:15:28.457576433+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:28.469577087+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:28.476086636+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:28.480554262+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:28.487886423+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:28.496576074+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:28.508938149+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:28.521662653+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:28.526184706+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:28.536209044+01:00;ENABLE TEST CASE 6
2025-05-27 21:15:28.537375475+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:28.549548174+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:28.555770336+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:28.560299073+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:28.567684253+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:28.576409807+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:28.588869115+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:28.601457052+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:28.606270773+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:28.616964112+01:00;ENABLE TEST CASE 8
2025-05-27 21:15:28.618144259+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:28.630643379+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:28.637079945+01:00;GENERATING SSDL REPORT
