2025-05-27 21:15:23.326386819+01:00;START ITERATION 4 WITH TEST CASE ORDER: 6 9 1 4 8 3 5 2
2025-05-27 21:15:23.327125180+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:15:23.380199941+01:00;ENABLE TEST CASE 6
2025-05-27 21:15:23.381332428+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:23.393931614+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:23.400373167+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:23.404778281+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:23.411992525+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:23.421162863+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:23.433793371+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:23.445705949+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:23.450146500+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:23.460114715+01:00;ENABLE TEST CASE 9
2025-05-27 21:15:23.461250114+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:23.473611303+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:23.479965089+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:23.484919870+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:23.492513179+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:23.501762174+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:23.514422799+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:23.526826882+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:23.531247863+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:23.541773970+01:00;ENABLE TEST CASE 1
2025-05-27 21:15:23.542981639+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:23.555550614+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:23.561796395+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:23.566368686+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:23.573627680+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:23.583162087+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:23.595227693+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:23.607191535+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:23.611706385+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:23.621583493+01:00;ENABLE TEST CASE 4
2025-05-27 21:15:23.622722562+01:00;ENABLE ONLY SSDL MUTANTS
