PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
UnixCal;1;0;0;101;97;4;0.000000;4855;4509;343;0.000000;-;-;-
UnixCal;1;1;8;101;49;4;0.494845;4855;2369;343;0.474606;2025-05-27 21:15:20.990781007+01:00;2025-05-27 21:15:21.068251626+01:00;0.07747
UnixCal;1;2;9;101;28;4;0.711340;4855;1129;343;0.749612;2025-05-27 21:15:21.070366951+01:00;2025-05-27 21:15:21.147104652+01:00;0.076737
UnixCal;1;3;4;101;24;4;0.752577;4855;1080;343;0.760479;2025-05-27 21:15:21.149170365+01:00;2025-05-27 21:15:21.225837533+01:00;0.076667
UnixCal;1;4;6;101;17;4;0.824742;4855;694;343;0.846086;2025-05-27 21:15:21.227882304+01:00;2025-05-27 21:15:21.305028161+01:00;0.077145
UnixCal;1;5;2;101;13;4;0.865979;4855;647;343;0.856509;2025-05-27 21:15:21.307015166+01:00;2025-05-27 21:15:21.384136206+01:00;0.077121
UnixCal;1;6;3;101;9;4;0.907216;4855;596;343;0.867820;2025-05-27 21:15:21.386238980+01:00;2025-05-27 21:15:21.463553049+01:00;0.077314
UnixCal;1;7;5;101;9;4;0.907216;4855;578;343;0.871812;2025-05-27 21:15:21.465598953+01:00;2025-05-27 21:15:21.547111507+01:00;0.081512
UnixCal;1;8;1;101;0;4;1.000000;4855;157;343;0.965181;2025-05-27 21:15:21.549233834+01:00;2025-05-27 21:15:21.628288872+01:00;0.079055
UnixCal;2;0;0;101;97;4;0.000000;4855;4509;343;0.000000;-;-;-
UnixCal;2;1;1;101;44;4;0.546392;4855;2319;343;0.485695;2025-05-27 21:15:21.786429226+01:00;2025-05-27 21:15:21.863923218+01:00;0.077493
UnixCal;2;2;9;101;20;4;0.793814;4855;874;343;0.806165;2025-05-27 21:15:21.866002552+01:00;2025-05-27 21:15:21.942724010+01:00;0.076721
UnixCal;2;3;3;101;14;4;0.855670;4855;657;343;0.854291;2025-05-27 21:15:21.944675589+01:00;2025-05-27 21:15:22.021783032+01:00;0.077107
UnixCal;2;4;5;101;8;4;0.917526;4855;291;343;0.935462;2025-05-27 21:15:22.023869614+01:00;2025-05-27 21:15:22.099915150+01:00;0.076045
UnixCal;2;5;8;101;8;4;0.917526;4855;281;343;0.937680;2025-05-27 21:15:22.101930910+01:00;2025-05-27 21:15:22.178739155+01:00;0.076808
UnixCal;2;6;4;101;4;4;0.958763;4855;233;343;0.948326;2025-05-27 21:15:22.180768213+01:00;2025-05-27 21:15:22.259407432+01:00;0.078639
UnixCal;2;7;2;101;0;4;1.000000;4855;184;343;0.959193;2025-05-27 21:15:22.261473377+01:00;2025-05-27 21:15:22.339310157+01:00;0.077836
UnixCal;2;8;6;101;0;4;1.000000;4855;157;343;0.965181;2025-05-27 21:15:22.341463925+01:00;2025-05-27 21:15:22.418565968+01:00;0.077102
UnixCal;3;0;0;101;97;4;0.000000;4855;4509;343;0.000000;-;-;-
UnixCal;3;1;3;101;89;4;0.082474;4855;4256;343;0.056110;2025-05-27 21:15:22.573587600+01:00;2025-05-27 21:15:22.650679691+01:00;0.077092
UnixCal;3;2;5;101;40;4;0.587629;4855;2148;343;0.523619;2025-05-27 21:15:22.652822110+01:00;2025-05-27 21:15:22.729158899+01:00;0.076336
UnixCal;3;3;6;101;19;4;0.804124;4855;917;343;0.796629;2025-05-27 21:15:22.731091328+01:00;2025-05-27 21:15:22.810276137+01:00;0.079184
UnixCal;3;4;9;101;17;4;0.824742;4855;684;343;0.848303;2025-05-27 21:15:22.812317801+01:00;2025-05-27 21:15:22.891123317+01:00;0.078805
UnixCal;3;5;4;101;13;4;0.865979;4855;636;343;0.858949;2025-05-27 21:15:22.893322889+01:00;2025-05-27 21:15:22.971845452+01:00;0.078522
UnixCal;3;6;1;101;4;4;0.958763;4855;214;343;0.952539;2025-05-27 21:15:22.973810162+01:00;2025-05-27 21:15:23.052701804+01:00;0.078891
UnixCal;3;7;8;101;4;4;0.958763;4855;204;343;0.954757;2025-05-27 21:15:23.054743566+01:00;2025-05-27 21:15:23.135513427+01:00;0.080769
UnixCal;3;8;2;101;0;4;1.000000;4855;157;343;0.965181;2025-05-27 21:15:23.137566002+01:00;2025-05-27 21:15:23.217954942+01:00;0.080388
UnixCal;4;0;0;101;97;4;0.000000;4855;4509;343;0.000000;-;-;-
UnixCal;4;1;6;101;33;4;0.659794;4855;1580;343;0.649590;2025-05-27 21:15:23.379507475+01:00;2025-05-27 21:15:23.457336622+01:00;0.077829
UnixCal;4;2;9;101;31;4;0.680412;4855;1346;343;0.701486;2025-05-27 21:15:23.459473023+01:00;2025-05-27 21:15:23.538884900+01:00;0.079411
UnixCal;4;3;1;101;15;4;0.845361;4855;565;343;0.874695;2025-05-27 21:15:23.540966616+01:00;2025-05-27 21:15:23.618759231+01:00;0.077792
UnixCal;4;4;4;101;10;4;0.896907;4855;451;343;0.899978;2025-05-27 21:15:23.620796588+01:00;2025-05-27 21:15:23.697053550+01:00;0.076256
UnixCal;4;5;8;101;8;4;0.917526;4855;267;343;0.940785;2025-05-27 21:15:23.699097249+01:00;2025-05-27 21:15:23.775872720+01:00;0.076775
UnixCal;4;6;3;101;4;4;0.958763;4855;216;343;0.952096;2025-05-27 21:15:23.777995552+01:00;2025-05-27 21:15:23.855160373+01:00;0.077164
UnixCal;4;7;5;101;4;4;0.958763;4855;204;343;0.954757;2025-05-27 21:15:23.857197544+01:00;2025-05-27 21:15:23.934758710+01:00;0.077561
UnixCal;4;8;2;101;0;4;1.000000;4855;157;343;0.965181;2025-05-27 21:15:23.936768009+01:00;2025-05-27 21:15:24.013781994+01:00;0.077013
UnixCal;5;0;0;101;97;4;0.000000;4855;4509;343;0.000000;-;-;-
UnixCal;5;1;3;101;89;4;0.082474;4855;4256;343;0.056110;2025-05-27 21:15:24.169440884+01:00;2025-05-27 21:15:24.246519255+01:00;0.077078
UnixCal;5;2;5;101;40;4;0.587629;4855;2148;343;0.523619;2025-05-27 21:15:24.248613395+01:00;2025-05-27 21:15:24.325359873+01:00;0.076746
UnixCal;5;3;4;101;36;4;0.628866;4855;2100;343;0.534265;2025-05-27 21:15:24.327477309+01:00;2025-05-27 21:15:24.405576508+01:00;0.078099
UnixCal;5;4;1;101;26;4;0.731959;4855;1593;343;0.646707;2025-05-27 21:15:24.407696577+01:00;2025-05-27 21:15:24.485081558+01:00;0.077384
UnixCal;5;5;2;101;20;4;0.793814;4855;1482;343;0.671324;2025-05-27 21:15:24.486998714+01:00;2025-05-27 21:15:24.564014244+01:00;0.077015
UnixCal;5;6;8;101;19;4;0.804124;4855;1314;343;0.708583;2025-05-27 21:15:24.566029410+01:00;2025-05-27 21:15:24.643170109+01:00;0.07714
UnixCal;5;7;6;101;1;4;0.989691;4855;195;343;0.956753;2025-05-27 21:15:24.645255311+01:00;2025-05-27 21:15:24.722473721+01:00;0.077218
UnixCal;5;8;9;101;0;4;1.000000;4855;157;343;0.965181;2025-05-27 21:15:24.724621081+01:00;2025-05-27 21:15:24.801161698+01:00;0.07654
UnixCal;6;0;0;101;97;4;0.000000;4855;4509;343;0.000000;-;-;-
UnixCal;6;1;1;101;44;4;0.546392;4855;2319;343;0.485695;2025-05-27 21:15:24.955998688+01:00;2025-05-27 21:15:25.032168905+01:00;0.07617
UnixCal;6;2;8;101;38;4;0.608247;4855;1819;343;0.596585;2025-05-27 21:15:25.034103693+01:00;2025-05-27 21:15:25.111622933+01:00;0.077519
UnixCal;6;3;9;101;17;4;0.824742;4855;625;343;0.861388;2025-05-27 21:15:25.113706180+01:00;2025-05-27 21:15:25.192274139+01:00;0.078567
UnixCal;6;4;5;101;12;4;0.876289;4855;330;343;0.926813;2025-05-27 21:15:25.194323981+01:00;2025-05-27 21:15:25.271669638+01:00;0.077345
UnixCal;6;5;2;101;8;4;0.917526;4855;281;343;0.937680;2025-05-27 21:15:25.273695603+01:00;2025-05-27 21:15:25.353866621+01:00;0.080171
UnixCal;6;6;3;101;4;4;0.958763;4855;232;343;0.948547;2025-05-27 21:15:25.355887787+01:00;2025-05-27 21:15:25.433795978+01:00;0.077908
UnixCal;6;7;4;101;0;4;1.000000;4855;184;343;0.959193;2025-05-27 21:15:25.435960583+01:00;2025-05-27 21:15:25.513173326+01:00;0.077212
UnixCal;6;8;6;101;0;4;1.000000;4855;157;343;0.965181;2025-05-27 21:15:25.515329601+01:00;2025-05-27 21:15:25.591623583+01:00;0.076293
UnixCal;7;0;0;101;97;4;0.000000;4855;4509;343;0.000000;-;-;-
UnixCal;7;1;6;101;33;4;0.659794;4855;1580;343;0.649590;2025-05-27 21:15:25.748061874+01:00;2025-05-27 21:15:25.827056034+01:00;0.078994
UnixCal;7;2;4;101;27;4;0.721649;4855;1444;343;0.679752;2025-05-27 21:15:25.829017622+01:00;2025-05-27 21:15:25.906944625+01:00;0.077927
UnixCal;7;3;8;101;18;4;0.814433;4855;736;343;0.836771;2025-05-27 21:15:25.909011168+01:00;2025-05-27 21:15:25.987663629+01:00;0.078652
UnixCal;7;4;3;101;14;4;0.855670;4855;685;343;0.848082;2025-05-27 21:15:25.989710472+01:00;2025-05-27 21:15:26.069565706+01:00;0.079855
UnixCal;7;5;2;101;10;4;0.896907;4855;636;343;0.858949;2025-05-27 21:15:26.071644220+01:00;2025-05-27 21:15:26.150582306+01:00;0.078938
UnixCal;7;6;9;101;9;4;0.907216;4855;596;343;0.867820;2025-05-27 21:15:26.152539959+01:00;2025-05-27 21:15:26.230758085+01:00;0.078218
UnixCal;7;7;1;101;0;4;1.000000;4855;169;343;0.962519;2025-05-27 21:15:26.232984836+01:00;2025-05-27 21:15:26.310870702+01:00;0.077885
UnixCal;7;8;5;101;0;4;1.000000;4855;157;343;0.965181;2025-05-27 21:15:26.312913990+01:00;2025-05-27 21:15:26.391862732+01:00;0.078948
UnixCal;8;0;0;101;97;4;0.000000;4855;4509;343;0.000000;-;-;-
UnixCal;8;1;8;101;49;4;0.494845;4855;2369;343;0.474606;2025-05-27 21:15:26.550795185+01:00;2025-05-27 21:15:26.629217034+01:00;0.078421
UnixCal;8;2;5;101;42;4;0.567010;4855;1951;343;0.567310;2025-05-27 21:15:26.631268855+01:00;2025-05-27 21:15:26.709209841+01:00;0.07794
UnixCal;8;3;1;101;33;4;0.659794;4855;1522;343;0.662453;2025-05-27 21:15:26.711321429+01:00;2025-05-27 21:15:26.787311983+01:00;0.07599
UnixCal;8;4;2;101;27;4;0.721649;4855;1411;343;0.687070;2025-05-27 21:15:26.789575376+01:00;2025-05-27 21:15:26.865953692+01:00;0.076378
UnixCal;8;5;4;101;23;4;0.762887;4855;1363;343;0.697716;2025-05-27 21:15:26.867859920+01:00;2025-05-27 21:15:26.944901581+01:00;0.077041
UnixCal;8;6;6;101;5;4;0.948454;4855;244;343;0.945886;2025-05-27 21:15:26.946964729+01:00;2025-05-27 21:15:27.024139101+01:00;0.077174
UnixCal;8;7;9;101;4;4;0.958763;4855;206;343;0.954314;2025-05-27 21:15:27.026214472+01:00;2025-05-27 21:15:27.103393314+01:00;0.077178
UnixCal;8;8;3;101;0;4;1.000000;4855;157;343;0.965181;2025-05-27 21:15:27.105275922+01:00;2025-05-27 21:15:27.182175509+01:00;0.076899
UnixCal;9;0;0;101;97;4;0.000000;4855;4509;343;0.000000;-;-;-
