Operator,NON_EQ,EQ,TOTAL
CCCR,6,0,6
CCDL,8,0,8
CCSR,45,0,45
CRCR,145,5,150
OAAA,0,0,0
OAAN,43,1,44
OABA,0,0,0
OABN,33,0,33
OAEA,0,0,0
OALN,22,0,22
OARN,66,0,66
OASA,0,0,0
OASN,22,0,22
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,5,0,5
OCOR,0,0,0
OEAA,51,11,62
OEBA,24,12,36
OESA,18,6,24
OIDO,1,0,1
OIPM,0,0,0
OLAN,0,0,0
OLBN,0,0,0
OLLN,0,0,0
OLNG,0,0,0
OLRN,0,0,0
OLSN,0,0,0
OODL,35,2,37
ORAN,33,2,35
ORBN,19,2,21
ORLN,14,0,14
ORRN,29,6,35
ORSN,14,0,14
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,1,0,1
SMTT,1,0,1
SMVB,1,0,1
SRSR,43,4,47
SSDL,41,4,45
SSWM,0,0,0
STRI,8,0,8
STRP,45,0,45
SWDD,0,0,0
VDTR,60,30,90
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,36,3,39
VLTR,0,0,0
VSCR,74,7,81
VTWD,57,3,60
VVDL,21,2,23
Total,1021,100,1121
