Operator,NON_EQ,EQ,TOTAL
CCCR,36,0,36
CCDL,3,2,5
CCSR,90,0,90
CRCR,90,0,90
OAAA,0,0,0
OAAN,24,0,24
OABA,0,0,0
OABN,16,2,18
OAEA,0,0,0
OALN,12,0,12
OARN,36,0,36
OASA,0,0,0
OASN,12,0,12
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,3,0,3
OCOR,0,0,0
OEAA,28,2,30
OEBA,14,4,18
OESA,12,0,12
OIDO,1,0,1
OIPM,0,0,0
OLAN,7,3,10
OLBN,3,3,6
OLLN,2,0,2
OLNG,6,0,6
OLRN,10,2,12
OLSN,4,0,4
OODL,24,2,26
ORAN,21,4,25
ORBN,11,4,15
ORLN,8,2,10
ORRN,21,4,25
ORSN,6,4,10
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,1,0,1
SMTT,1,0,1
SMVB,0,0,0
SRSR,9,0,9
SSDL,11,0,11
SSWM,0,0,0
STRI,4,0,4
STRP,11,0,11
SWDD,0,0,0
VDTR,22,32,54
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,211,0,211
VLTR,0,0,0
VSCR,0,0,0
VTWD,35,1,36
VVDL,15,0,15
Total,820,71,891
