2025-05-27 21:12:43.492389984+01:00;START ITERATION 6 WITH TEST CASE ORDER: 2 3 1
2025-05-27 21:12:43.493116932+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:12:43.508246617+01:00;ENABLE TEST CASE 2
2025-05-27 21:12:43.509488162+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:43.512545802+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:43.514626558+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:43.516328821+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:43.518618593+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:43.522522080+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:43.525546260+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:43.528650839+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:43.530294554+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:43.535339514+01:00;ENABLE TEST CASE 3
2025-05-27 21:12:43.536717371+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:43.539832414+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:43.541818378+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:43.543440559+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:43.545713185+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:43.549522107+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:43.552796202+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:43.556188158+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:43.557905237+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:43.563063361+01:00;ENABLE TEST CASE 1
2025-05-27 21:12:43.564175188+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:43.567232694+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:43.569282996+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:43.570894735+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:43.573168482+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:43.576785158+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:43.579851991+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:43.582925259+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:43.584682860+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:43.587902558+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:12:43.593910008+01:00;END ITERATION 6 WITH TEST CASE ORDER: 2 3 1
