Operator,NON_EQ,EQ,TOTAL
CCCR,0,0,0
CCDL,0,0,0
CCSR,0,0,0
CRCR,1,14,15
OAAA,0,0,0
OAAN,0,0,0
OABA,0,0,0
OABN,0,0,0
OAEA,0,0,0
OALN,0,0,0
OARN,0,0,0
OASA,0,0,0
OASN,0,0,0
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,1,0,1
OCOR,0,0,0
OEAA,0,0,0
OEBA,0,0,0
OESA,0,0,0
OIDO,0,0,0
OIPM,0,0,0
OLAN,6,4,10
OLBN,2,4,6
OLLN,0,2,2
OLNG,4,2,6
OLRN,10,2,12
OLSN,1,3,4
OODL,0,4,4
ORAN,0,0,0
ORBN,0,0,0
ORLN,0,0,0
ORRN,0,0,0
ORSN,0,0,0
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,0,0,0
SMTT,0,0,0
SMVB,0,0,0
SRSR,6,0,6
SSDL,4,2,6
SSWM,0,0,0
STRI,1,1,2
STRP,4,2,6
SWDD,0,0,0
VDTR,3,6,9
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,0,6,6
VLTR,0,0,0
VSCR,0,0,0
VTWD,2,4,6
VVDL,0,3,3
Total,45,59,104
