2025-05-27 21:12:47.573492830+01:00;START ITERATION 10 WITH TEST CASE ORDER: 1 5
2025-05-27 21:12:47.574245914+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:12:47.582238295+01:00;ENABLE TEST CASE 1
2025-05-27 21:12:47.583360178+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:47.584701712+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:47.586060428+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:47.587324905+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:47.588691677+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:47.591619899+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:47.592992963+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:47.594331949+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:47.595575752+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:47.599673958+01:00;ENABLE TEST CASE 5
2025-05-27 21:12:47.600812526+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:47.602142793+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:47.603713913+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:47.604959442+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:47.606383636+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:47.609387988+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:47.610781367+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:47.612158081+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:47.613418187+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:47.615487016+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:12:47.617966569+01:00;END ITERATION 10 WITH TEST CASE ORDER: 1 5
