2025-05-27 21:12:50.057732662+01:00;START ITERATION 9 WITH TEST CASE ORDER: 2 3 1
2025-05-27 21:12:50.058451761+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:12:50.066946808+01:00;ENABLE TEST CASE 2
2025-05-27 21:12:50.068038620+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:50.069569922+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:50.070928691+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:50.072183298+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:50.073570038+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:50.076637224+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:50.078140102+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:50.079652296+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:50.080850574+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:50.084806441+01:00;ENABLE TEST CASE 3
2025-05-27 21:12:50.085976732+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:50.087434660+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:50.088852205+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:50.090114431+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:50.091482257+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:50.094452766+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:50.095919912+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:50.097369115+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:50.098673832+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:50.102580788+01:00;ENABLE TEST CASE 1
2025-05-27 21:12:50.103751377+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:50.105201080+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:50.106447038+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:50.107735460+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:50.109193957+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:50.112165500+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:50.113590498+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:50.115044005+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:50.116386890+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:50.118564582+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:12:50.121415880+01:00;END ITERATION 9 WITH TEST CASE ORDER: 2 3 1
