2025-05-27 21:12:57.004759280+01:00;START ITERATION 8 WITH TEST CASE ORDER: 38 13 11 14 33 15 3 34 36 20 2 35 12 10 1 9 37
2025-05-27 21:12:57.005540463+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:12:57.037317203+01:00;ENABLE TEST CASE 38
2025-05-27 21:12:57.038559217+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:57.045787156+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:57.049551237+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:57.052869398+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:57.057314669+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:57.063655894+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:57.070439223+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:57.077349885+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:57.080639033+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:57.088045449+01:00;ENABLE TEST CASE 13
2025-05-27 21:12:57.089298018+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:57.096049964+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:57.099847240+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:57.103062330+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:57.107644562+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:57.114107914+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:57.121051852+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:57.127851380+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:57.131116559+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:57.138296326+01:00;ENABLE TEST CASE 11
