2025-05-27 21:12:57.956089974+01:00;START ITERATION 9 WITH TEST CASE ORDER: 33 3 34 36 1 35 38 2 10 12 14 20 11 37 15 13 9
2025-05-27 21:12:57.956786875+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:12:57.987980897+01:00;ENABLE TEST CASE 33
2025-05-27 21:12:57.989119472+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:57.995569449+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:57.999304505+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:58.002576877+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:58.006674813+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:58.012616118+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:58.019157498+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:58.026042182+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:58.029362682+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:58.036312731+01:00;ENABLE TEST CASE 3
2025-05-27 21:12:58.037664663+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:58.044087939+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:58.047962644+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:58.051050441+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:58.055470109+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:58.061652638+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:58.068475376+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:58.075296327+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:58.078331543+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:12:58.085511082+01:00;ENABLE TEST CASE 34
2025-05-27 21:12:58.086824325+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:12:58.093432935+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:12:58.097126059+01:00;GENERATING SSDL REPORT
2025-05-27 21:12:58.100159021+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:12:58.104495470+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:12:58.110712591+01:00;ENABLE ALL MUTANTS
2025-05-27 21:12:58.117272959+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:12:58.124273856+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:12:58.127483088+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
