PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
date-plus;0;88.0;0.00000;2257.0;0.00000
date-plus;1;50.3;0.42841;1350.6;0.40160
date-plus;2;35.6;0.59545;993.6;0.55977
date-plus;3;31.1;0.64659;851.4;0.62277
date-plus;4;27.3;0.68977;739.5;0.67235
date-plus;5;23.2;0.73636;651.2;0.71148
date-plus;6;21.2;0.75909;587.7;0.73961
date-plus;7;18.5;0.78977;533.9;0.76345
date-plus;8;14.6;0.83409;452.4;0.79956
date-plus;9;11.0;0.87500;374.9;0.83389
date-plus;10;10.2;0.88409;357.4;0.84165
date-plus;11;8.2;0.90682;330.6;0.85352
date-plus;12;6.9;0.92159;299.6;0.86726
date-plus;13;4.9;0.94432;249.6;0.88941
date-plus;14;3.3;0.96250;213.3;0.90549
date-plus;15;1.8;0.97955;178.1;0.92109
date-plus;16;0.8;0.99091;154.2;0.93168
date-plus;17;0.0;1.00000;129.0;0.94284
