Operator,NON_EQ,EQ,TOTAL
CCCR,3,0,3
CCDL,2,0,2
CCSR,12,0,12
CRCR,30,0,30
OAAA,0,0,0
OAAN,4,0,4
OABA,0,0,0
OABN,2,1,3
OAEA,0,0,0
OALN,2,0,2
OARN,6,0,6
OASA,0,0,0
OASN,2,0,2
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,2,0,2
OCOR,0,0,0
OEAA,5,0,5
OEBA,2,1,3
OESA,2,0,2
OIDO,1,0,1
OIPM,0,0,0
OLAN,0,0,0
OLBN,0,0,0
OLLN,0,0,0
OLNG,0,0,0
OLRN,0,0,0
OLSN,0,0,0
OODL,7,0,7
ORAN,10,0,10
ORBN,6,0,6
ORLN,4,0,4
ORRN,10,0,10
ORSN,4,0,4
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,1,0,1
SMTT,1,0,1
SMVB,0,0,0
SRSR,9,2,11
SSDL,7,0,7
SSWM,0,0,0
STRI,2,0,2
STRP,7,0,7
SWDD,0,0,0
VDTR,14,4,18
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,17,0,17
VLTR,0,0,0
VSCR,0,0,0
VTWD,11,1,12
VVDL,4,0,4
Total,189,9,198
