PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
findLast;1;0;0;7;7;0;0.000000;198;189;9;0.000000;-;-;-
findLast;1;1;2;7;1;0;0.857143;198;80;9;0.576720;2025-05-27 21:13:01.045886184+01:00;2025-05-27 21:13:01.062981585+01:00;0.017095
findLast;1;2;1;7;0;0;1.000000;198;50;9;0.735450;2025-05-27 21:13:01.064933676+01:00;2025-05-27 21:13:01.081618792+01:00;0.016685
findLast;2;0;0;7;7;0;0.000000;198;189;9;0.000000;-;-;-
findLast;2;1;2;7;1;0;0.857143;198;80;9;0.576720;2025-05-27 21:13:01.151412019+01:00;2025-05-27 21:13:01.168326936+01:00;0.016914
findLast;2;2;1;7;0;0;1.000000;198;50;9;0.735450;2025-05-27 21:13:01.170366139+01:00;2025-05-27 21:13:01.187163972+01:00;0.016797
findLast;3;0;0;7;7;0;0.000000;198;189;9;0.000000;-;-;-
findLast;3;1;2;7;1;0;0.857143;198;80;9;0.576720;2025-05-27 21:13:01.256993957+01:00;2025-05-27 21:13:01.273795602+01:00;0.016801
findLast;3;2;1;7;0;0;1.000000;198;50;9;0.735450;2025-05-27 21:13:01.276111879+01:00;2025-05-27 21:13:01.293523010+01:00;0.017411
findLast;4;0;0;7;7;0;0.000000;198;189;9;0.000000;-;-;-
findLast;4;1;1;7;5;0;0.285714;198;122;9;0.354497;2025-05-27 21:13:01.364782146+01:00;2025-05-27 21:13:01.381890102+01:00;0.017107
findLast;4;2;2;7;0;0;1.000000;198;50;9;0.735450;2025-05-27 21:13:01.383919232+01:00;2025-05-27 21:13:01.401155652+01:00;0.017236
findLast;5;0;0;7;7;0;0.000000;198;189;9;0.000000;-;-;-
findLast;5;1;1;7;5;0;0.285714;198;122;9;0.354497;2025-05-27 21:13:01.472594761+01:00;2025-05-27 21:13:01.489978433+01:00;0.017383
findLast;5;2;2;7;0;0;1.000000;198;50;9;0.735450;2025-05-27 21:13:01.491975211+01:00;2025-05-27 21:13:01.509362173+01:00;0.017386
findLast;6;0;0;7;7;0;0.000000;198;189;9;0.000000;-;-;-
findLast;6;1;2;7;1;0;0.857143;198;80;9;0.576720;2025-05-27 21:13:01.580047580+01:00;2025-05-27 21:13:01.598115496+01:00;0.018067
findLast;6;2;1;7;0;0;1.000000;198;50;9;0.735450;2025-05-27 21:13:01.600233472+01:00;2025-05-27 21:13:01.618164998+01:00;0.017931
findLast;7;0;0;7;7;0;0.000000;198;189;9;0.000000;-;-;-
findLast;7;1;2;7;1;0;0.857143;198;80;9;0.576720;2025-05-27 21:13:01.688598290+01:00;2025-05-27 21:13:01.706636365+01:00;0.018038
findLast;7;2;1;7;0;0;1.000000;198;50;9;0.735450;2025-05-27 21:13:01.708752158+01:00;2025-05-27 21:13:01.726732286+01:00;0.01798
findLast;8;0;0;7;7;0;0.000000;198;189;9;0.000000;-;-;-
findLast;8;1;2;7;1;0;0.857143;198;80;9;0.576720;2025-05-27 21:13:01.796977854+01:00;2025-05-27 21:13:01.814502677+01:00;0.017524
findLast;8;2;1;7;0;0;1.000000;198;50;9;0.735450;2025-05-27 21:13:01.816548227+01:00;2025-05-27 21:13:01.833911647+01:00;0.017363
findLast;9;0;0;7;7;0;0.000000;198;189;9;0.000000;-;-;-
findLast;9;1;1;7;5;0;0.285714;198;122;9;0.354497;2025-05-27 21:13:01.903614711+01:00;2025-05-27 21:13:01.920508585+01:00;0.016893
findLast;9;2;2;7;0;0;1.000000;198;50;9;0.735450;2025-05-27 21:13:01.922424289+01:00;2025-05-27 21:13:01.939148933+01:00;0.016724
findLast;10;0;0;7;7;0;0.000000;198;189;9;0.000000;-;-;-
findLast;10;1;1;7;5;0;0.285714;198;122;9;0.354497;2025-05-27 21:13:02.009340996+01:00;2025-05-27 21:13:02.026371196+01:00;0.01703
findLast;10;2;2;7;0;0;1.000000;198;50;9;0.735450;2025-05-27 21:13:02.028346404+01:00;2025-05-27 21:13:02.044985673+01:00;0.016639
