2025-05-27 21:13:02.529901383+01:00;START ITERATION 5 WITH TEST CASE ORDER: 2 1
2025-05-27 21:13:02.530611001+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:02.539488913+01:00;ENABLE TEST CASE 2
2025-05-27 21:13:02.540711714+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:02.542315933+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:02.543639049+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:02.544961390+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:02.546455120+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:02.549602923+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:02.551130099+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:02.552866516+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:02.554157588+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:02.558230646+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:02.559379714+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:02.560966532+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:02.562230617+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:02.563571265+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:02.565041746+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:02.568083788+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:02.569744023+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:02.571285574+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:02.572670971+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:02.574767838+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:02.577749397+01:00;END ITERATION 5 WITH TEST CASE ORDER: 2 1
