2025-05-27 21:13:12.663572646+01:00;START ITERATION 10 WITH TEST CASE ORDER: 2 1 14 23 8
2025-05-27 21:13:12.664251726+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:12.697884605+01:00;ENABLE TEST CASE 2
2025-05-27 21:13:12.699061292+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:12.706519128+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:12.710647061+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:12.713839296+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:12.718593531+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:12.724863310+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:12.732353421+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:12.740769130+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:12.743851382+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:12.751244468+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:12.752600489+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:12.760186111+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:12.764204837+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:12.767330466+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:12.772024021+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:12.778369999+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:12.785947715+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:12.793679937+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:12.796798211+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:12.804191449+01:00;ENABLE TEST CASE 14
2025-05-27 21:13:12.805336079+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:12.812874440+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:12.816942128+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:12.819952597+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:12.824731139+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:12.830979669+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:12.838455713+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:12.846164039+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:12.849507670+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:12.857210258+01:00;ENABLE TEST CASE 23
2025-05-27 21:13:12.858373588+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:12.865948519+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:12.870123856+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:12.873236571+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:12.878098890+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:12.884309812+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:12.891845530+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:12.899585987+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:12.902735549+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:12.910184707+01:00;ENABLE TEST CASE 8
2025-05-27 21:13:12.911239357+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:12.918822538+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:12.922891793+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:12.926148950+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:12.930780628+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:12.937218187+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:12.944711654+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:12.952530638+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:12.955702208+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:12.961260088+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:12.976581038+01:00;END ITERATION 10 WITH TEST CASE ORDER: 2 1 14 23 8
