PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
jday-jdate;1;0;0;32;31;1;0.000000;2821;2737;84;0.000000;-;-;-
jday-jdate;1;1;14;32;25;1;0.193548;2821;2087;84;0.237486;2025-05-27 21:13:09.240272263+01:00;2025-05-27 21:13:09.291706170+01:00;0.051433
jday-jdate;1;2;23;32;5;1;0.838710;2821;454;84;0.834125;2025-05-27 21:13:09.293776985+01:00;2025-05-27 21:13:09.347561083+01:00;0.053784
jday-jdate;1;3;2;32;2;1;0.935484;2821;314;84;0.885276;2025-05-27 21:13:09.349658919+01:00;2025-05-27 21:13:09.402352069+01:00;0.052693
jday-jdate;1;4;8;32;0;1;1.000000;2821;93;84;0.966021;2025-05-27 21:13:09.404302049+01:00;2025-05-27 21:13:09.455347948+01:00;0.051045
jday-jdate;1;5;1;32;0;1;1.000000;2821;87;84;0.968213;2025-05-27 21:13:09.457297305+01:00;2025-05-27 21:13:09.507996245+01:00;0.050698
jday-jdate;2;0;0;32;31;1;0.000000;2821;2737;84;0.000000;-;-;-
jday-jdate;2;1;2;32;23;1;0.258065;2821;2185;84;0.201681;2025-05-27 21:13:09.627155102+01:00;2025-05-27 21:13:09.677599560+01:00;0.050444
jday-jdate;2;2;8;32;4;1;0.870968;2821;449;84;0.835952;2025-05-27 21:13:09.679639497+01:00;2025-05-27 21:13:09.730974345+01:00;0.051334
jday-jdate;2;3;1;32;4;1;0.870968;2821;434;84;0.841432;2025-05-27 21:13:09.732938190+01:00;2025-05-27 21:13:09.783827348+01:00;0.050889
jday-jdate;2;4;14;32;3;1;0.903226;2821;196;84;0.928389;2025-05-27 21:13:09.785724882+01:00;2025-05-27 21:13:09.836374700+01:00;0.050649
jday-jdate;2;5;23;32;0;1;1.000000;2821;87;84;0.968213;2025-05-27 21:13:09.838390230+01:00;2025-05-27 21:13:09.890608181+01:00;0.052217
jday-jdate;3;0;0;32;31;1;0.000000;2821;2737;84;0.000000;-;-;-
jday-jdate;3;1;8;32;12;1;0.612903;2821;1001;84;0.634271;2025-05-27 21:13:10.011692649+01:00;2025-05-27 21:13:10.062284805+01:00;0.050592
jday-jdate;3;2;2;32;4;1;0.870968;2821;449;84;0.835952;2025-05-27 21:13:10.064418185+01:00;2025-05-27 21:13:10.115144835+01:00;0.050726
jday-jdate;3;3;14;32;3;1;0.903226;2821;211;84;0.922908;2025-05-27 21:13:10.117115181+01:00;2025-05-27 21:13:10.167629999+01:00;0.050514
jday-jdate;3;4;23;32;0;1;1.000000;2821;93;84;0.966021;2025-05-27 21:13:10.169706796+01:00;2025-05-27 21:13:10.220233435+01:00;0.050526
jday-jdate;3;5;1;32;0;1;1.000000;2821;87;84;0.968213;2025-05-27 21:13:10.222157289+01:00;2025-05-27 21:13:10.273539438+01:00;0.051382
jday-jdate;4;0;0;32;31;1;0.000000;2821;2737;84;0.000000;-;-;-
jday-jdate;4;1;1;32;13;1;0.580645;2821;1032;84;0.622945;2025-05-27 21:13:10.393173828+01:00;2025-05-27 21:13:10.443931047+01:00;0.050757
jday-jdate;4;2;23;32;9;1;0.709677;2821;879;84;0.678845;2025-05-27 21:13:10.445882260+01:00;2025-05-27 21:13:10.498598810+01:00;0.052716
jday-jdate;4;3;14;32;3;1;0.903226;2821;229;84;0.916332;2025-05-27 21:13:10.500751546+01:00;2025-05-27 21:13:10.553793685+01:00;0.053042
jday-jdate;4;4;8;32;3;1;0.903226;2821;227;84;0.917062;2025-05-27 21:13:10.556014982+01:00;2025-05-27 21:13:10.607049011+01:00;0.051034
jday-jdate;4;5;2;32;0;1;1.000000;2821;87;84;0.968213;2025-05-27 21:13:10.609013366+01:00;2025-05-27 21:13:10.659559876+01:00;0.050546
jday-jdate;5;0;0;32;31;1;0.000000;2821;2737;84;0.000000;-;-;-
jday-jdate;5;1;14;32;25;1;0.193548;2821;2087;84;0.237486;2025-05-27 21:13:10.779166052+01:00;2025-05-27 21:13:10.829720048+01:00;0.050553
jday-jdate;5;2;23;32;5;1;0.838710;2821;454;84;0.834125;2025-05-27 21:13:10.831812806+01:00;2025-05-27 21:13:10.881914527+01:00;0.050101
jday-jdate;5;3;1;32;3;1;0.903226;2821;229;84;0.916332;2025-05-27 21:13:10.883934416+01:00;2025-05-27 21:13:10.934023909+01:00;0.050089
jday-jdate;5;4;2;32;0;1;1.000000;2821;89;84;0.967483;2025-05-27 21:13:10.936033828+01:00;2025-05-27 21:13:10.987040263+01:00;0.051006
jday-jdate;5;5;8;32;0;1;1.000000;2821;87;84;0.968213;2025-05-27 21:13:10.988972281+01:00;2025-05-27 21:13:11.039899756+01:00;0.050927
jday-jdate;6;0;0;32;31;1;0.000000;2821;2737;84;0.000000;-;-;-
jday-jdate;6;1;2;32;23;1;0.258065;2821;2185;84;0.201681;2025-05-27 21:13:11.160418777+01:00;2025-05-27 21:13:11.213177937+01:00;0.052759
jday-jdate;6;2;23;32;3;1;0.903226;2821;552;84;0.798319;2025-05-27 21:13:11.215109490+01:00;2025-05-27 21:13:11.265820967+01:00;0.050711
jday-jdate;6;3;14;32;2;1;0.935484;2821;314;84;0.885276;2025-05-27 21:13:11.267814583+01:00;2025-05-27 21:13:11.317920798+01:00;0.050106
jday-jdate;6;4;1;32;0;1;1.000000;2821;89;84;0.967483;2025-05-27 21:13:11.319951442+01:00;2025-05-27 21:13:11.371599997+01:00;0.051648
jday-jdate;6;5;8;32;0;1;1.000000;2821;87;84;0.968213;2025-05-27 21:13:11.373731235+01:00;2025-05-27 21:13:11.424623180+01:00;0.050891
jday-jdate;7;0;0;32;31;1;0.000000;2821;2737;84;0.000000;-;-;-
jday-jdate;7;1;14;32;25;1;0.193548;2821;2087;84;0.237486;2025-05-27 21:13:11.543680206+01:00;2025-05-27 21:13:11.594623135+01:00;0.050942
jday-jdate;7;2;23;32;5;1;0.838710;2821;454;84;0.834125;2025-05-27 21:13:11.596707158+01:00;2025-05-27 21:13:11.647062631+01:00;0.050355
jday-jdate;7;3;1;32;3;1;0.903226;2821;229;84;0.916332;2025-05-27 21:13:11.649121047+01:00;2025-05-27 21:13:11.699475895+01:00;0.050354
jday-jdate;7;4;8;32;3;1;0.903226;2821;227;84;0.917062;2025-05-27 21:13:11.701568932+01:00;2025-05-27 21:13:11.752444404+01:00;0.050875
jday-jdate;7;5;2;32;0;1;1.000000;2821;87;84;0.968213;2025-05-27 21:13:11.754530444+01:00;2025-05-27 21:13:11.805790221+01:00;0.051259
jday-jdate;8;0;0;32;31;1;0.000000;2821;2737;84;0.000000;-;-;-
jday-jdate;8;1;23;32;11;1;0.645161;2821;1104;84;0.596639;2025-05-27 21:13:11.925336016+01:00;2025-05-27 21:13:11.978171764+01:00;0.052835
jday-jdate;8;2;2;32;3;1;0.903226;2821;552;84;0.798319;2025-05-27 21:13:11.980208026+01:00;2025-05-27 21:13:12.032645431+01:00;0.052437
jday-jdate;8;3;8;32;1;1;0.967742;2821;331;84;0.879065;2025-05-27 21:13:12.034698495+01:00;2025-05-27 21:13:12.086712817+01:00;0.052014
jday-jdate;8;4;14;32;0;1;1.000000;2821;93;84;0.966021;2025-05-27 21:13:12.088748301+01:00;2025-05-27 21:13:12.141596959+01:00;0.052848
jday-jdate;8;5;1;32;0;1;1.000000;2821;87;84;0.968213;2025-05-27 21:13:12.143618437+01:00;2025-05-27 21:13:12.196634687+01:00;0.053016
jday-jdate;9;0;0;32;31;1;0.000000;2821;2737;84;0.000000;-;-;-
jday-jdate;9;1;23;32;11;1;0.645161;2821;1104;84;0.596639;2025-05-27 21:13:12.316373225+01:00;2025-05-27 21:13:12.367185812+01:00;0.050812
jday-jdate;9;2;14;32;5;1;0.838710;2821;454;84;0.834125;2025-05-27 21:13:12.369306142+01:00;2025-05-27 21:13:12.420850904+01:00;0.051544
jday-jdate;9;3;2;32;2;1;0.935484;2821;314;84;0.885276;2025-05-27 21:13:12.422814832+01:00;2025-05-27 21:13:12.472664563+01:00;0.049849
jday-jdate;9;4;1;32;0;1;1.000000;2821;89;84;0.967483;2025-05-27 21:13:12.474692647+01:00;2025-05-27 21:13:12.525875882+01:00;0.051183
