2025-05-27 21:13:13.037287479+01:00;START ITERATION 1 WITH TEST CASE ORDER: 1
2025-05-27 21:13:13.038007827+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:13.046735117+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:13.047922378+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:13.049518604+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:13.050846128+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:13.052138620+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:13.053708942+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:13.056864906+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:13.058321206+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:13.059887501+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:13.061172327+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:13.063322271+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:13.066270295+01:00;END ITERATION 1 WITH TEST CASE ORDER: 1
