PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
lastZero;1;0;0;7;7;0;0.000000;173;163;10;0.000000;-;-;-
lastZero;1;1;1;7;0;0;1.000000;173;14;10;0.914110;2025-05-27 21:13:13.046065789+01:00;2025-05-27 21:13:13.062582536+01:00;0.016516
lastZero;2;0;0;7;7;0;0.000000;173;163;10;0.000000;-;-;-
lastZero;2;1;1;7;0;0;1.000000;173;14;10;0.914110;2025-05-27 21:13:13.132883773+01:00;2025-05-27 21:13:13.150000640+01:00;0.017116
lastZero;3;0;0;7;7;0;0.000000;173;163;10;0.000000;-;-;-
lastZero;3;1;1;7;0;0;1.000000;173;14;10;0.914110;2025-05-27 21:13:13.220820176+01:00;2025-05-27 21:13:13.237179075+01:00;0.016358
lastZero;4;0;0;7;7;0;0.000000;173;163;10;0.000000;-;-;-
lastZero;4;1;1;7;0;0;1.000000;173;14;10;0.914110;2025-05-27 21:13:13.307551664+01:00;2025-05-27 21:13:13.324015387+01:00;0.016463
lastZero;5;0;0;7;7;0;0.000000;173;163;10;0.000000;-;-;-
lastZero;5;1;1;7;0;0;1.000000;173;14;10;0.914110;2025-05-27 21:13:13.394431129+01:00;2025-05-27 21:13:13.410841143+01:00;0.01641
lastZero;6;0;0;7;7;0;0.000000;173;163;10;0.000000;-;-;-
lastZero;6;1;1;7;0;0;1.000000;173;14;10;0.914110;2025-05-27 21:13:13.480056838+01:00;2025-05-27 21:13:13.496481294+01:00;0.016424
lastZero;7;0;0;7;7;0;0.000000;173;163;10;0.000000;-;-;-
lastZero;7;1;1;7;0;0;1.000000;173;14;10;0.914110;2025-05-27 21:13:13.565795414+01:00;2025-05-27 21:13:13.582527452+01:00;0.016732
lastZero;8;0;0;7;7;0;0.000000;173;163;10;0.000000;-;-;-
lastZero;8;1;1;7;0;0;1.000000;173;14;10;0.914110;2025-05-27 21:13:13.651963980+01:00;2025-05-27 21:13:13.668668509+01:00;0.016704
lastZero;9;0;0;7;7;0;0.000000;173;163;10;0.000000;-;-;-
lastZero;9;1;1;7;0;0;1.000000;173;14;10;0.914110;2025-05-27 21:13:13.737915095+01:00;2025-05-27 21:13:13.755407505+01:00;0.017492
lastZero;10;0;0;7;7;0;0.000000;173;163;10;0.000000;-;-;-
lastZero;10;1;1;7;0;0;1.000000;173;14;10;0.914110;2025-05-27 21:13:13.824704108+01:00;2025-05-27 21:13:13.841048139+01:00;0.016344
