2025-05-27 21:13:17.887379209+01:00;START ITERATION 6 WITH TEST CASE ORDER: 1 2
2025-05-27 21:13:17.888095830+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:17.896855809+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:17.898022859+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:17.899516312+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:17.900936293+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:17.902371136+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:17.903844171+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:17.907094078+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:17.908734920+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:17.910300510+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:17.911660242+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:17.915712351+01:00;ENABLE TEST CASE 2
2025-05-27 21:13:17.916902921+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:17.918401014+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:17.919741700+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:17.921163306+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:17.922742771+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:17.925873739+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:17.927346621+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:17.928828454+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:17.930077266+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:17.932357244+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:17.935220832+01:00;END ITERATION 6 WITH TEST CASE ORDER: 1 2
