PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
numZero;1;0;0;7;7;0;0.000000;151;139;12;0.000000;-;-;-
numZero;1;1;2;7;1;0;0.857143;151;25;12;0.820144;2025-05-27 21:13:17.381673424+01:00;2025-05-27 21:13:17.398335409+01:00;0.016661
numZero;1;2;1;7;0;0;1.000000;151;7;12;0.949640;2025-05-27 21:13:17.400365717+01:00;2025-05-27 21:13:17.416152518+01:00;0.015786
numZero;2;0;0;7;7;0;0.000000;151;139;12;0.000000;-;-;-
numZero;2;1;2;7;1;0;0.857143;151;25;12;0.820144;2025-05-27 21:13:17.484326306+01:00;2025-05-27 21:13:17.500141943+01:00;0.015815
numZero;2;2;1;7;0;0;1.000000;151;7;12;0.949640;2025-05-27 21:13:17.502276228+01:00;2025-05-27 21:13:17.518255164+01:00;0.015978
numZero;3;0;0;7;7;0;0.000000;151;139;12;0.000000;-;-;-
numZero;3;1;1;7;5;0;0.285714;151;68;12;0.510791;2025-05-27 21:13:17.586465013+01:00;2025-05-27 21:13:17.602388563+01:00;0.015923
numZero;3;2;2;7;0;0;1.000000;151;7;12;0.949640;2025-05-27 21:13:17.604327242+01:00;2025-05-27 21:13:17.620607254+01:00;0.01628
numZero;4;0;0;7;7;0;0.000000;151;139;12;0.000000;-;-;-
numZero;4;1;2;7;1;0;0.857143;151;25;12;0.820144;2025-05-27 21:13:17.689445493+01:00;2025-05-27 21:13:17.705486323+01:00;0.01604
numZero;4;2;1;7;0;0;1.000000;151;7;12;0.949640;2025-05-27 21:13:17.707390541+01:00;2025-05-27 21:13:17.723463786+01:00;0.016073
numZero;5;0;0;7;7;0;0.000000;151;139;12;0.000000;-;-;-
numZero;5;1;2;7;1;0;0.857143;151;25;12;0.820144;2025-05-27 21:13:17.791865990+01:00;2025-05-27 21:13:17.808615913+01:00;0.016749
numZero;5;2;1;7;0;0;1.000000;151;7;12;0.949640;2025-05-27 21:13:17.810578420+01:00;2025-05-27 21:13:17.826831954+01:00;0.016253
numZero;6;0;0;7;7;0;0.000000;151;139;12;0.000000;-;-;-
numZero;6;1;1;7;5;0;0.285714;151;68;12;0.510791;2025-05-27 21:13:17.896171138+01:00;2025-05-27 21:13:17.913160886+01:00;0.016989
numZero;6;2;2;7;0;0;1.000000;151;7;12;0.949640;2025-05-27 21:13:17.915074873+01:00;2025-05-27 21:13:17.931607524+01:00;0.016532
numZero;7;0;0;7;7;0;0.000000;151;139;12;0.000000;-;-;-
numZero;7;1;1;7;5;0;0.285714;151;68;12;0.510791;2025-05-27 21:13:18.000750433+01:00;2025-05-27 21:13:18.017470030+01:00;0.016719
numZero;7;2;2;7;0;0;1.000000;151;7;12;0.949640;2025-05-27 21:13:18.019426149+01:00;2025-05-27 21:13:18.036771538+01:00;0.017345
numZero;8;0;0;7;7;0;0.000000;151;139;12;0.000000;-;-;-
numZero;8;1;2;7;1;0;0.857143;151;25;12;0.820144;2025-05-27 21:13:18.106993801+01:00;2025-05-27 21:13:18.123391859+01:00;0.016398
numZero;8;2;1;7;0;0;1.000000;151;7;12;0.949640;2025-05-27 21:13:18.125414601+01:00;2025-05-27 21:13:18.142100223+01:00;0.016685
numZero;9;0;0;7;7;0;0.000000;151;139;12;0.000000;-;-;-
numZero;9;1;2;7;1;0;0.857143;151;25;12;0.820144;2025-05-27 21:13:18.211002039+01:00;2025-05-27 21:13:18.228109656+01:00;0.017107
numZero;9;2;1;7;0;0;1.000000;151;7;12;0.949640;2025-05-27 21:13:18.230063172+01:00;2025-05-27 21:13:18.246624424+01:00;0.016561
numZero;10;0;0;7;7;0;0.000000;151;139;12;0.000000;-;-;-
numZero;10;1;1;7;5;0;0.285714;151;68;12;0.510791;2025-05-27 21:13:18.316228473+01:00;2025-05-27 21:13:18.333121625+01:00;0.016893
numZero;10;2;2;7;0;0;1.000000;151;7;12;0.949640;2025-05-27 21:13:18.335044900+01:00;2025-05-27 21:13:18.351009749+01:00;0.015964
