2025-05-27 21:13:18.550509844+01:00;START ITERATION 2 WITH TEST CASE ORDER: 1 4 2
2025-05-27 21:13:18.551234243+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:18.561611087+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:18.562800569+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:18.564769398+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:18.566256675+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:18.567672890+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:18.569354934+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:18.572595550+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:18.574576706+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:18.576432820+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:18.577837382+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:18.582156246+01:00;ENABLE TEST CASE 4
2025-05-27 21:13:18.583319612+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:18.585195671+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:18.586734706+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:18.588068275+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:18.589750183+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:18.592944184+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:18.594816349+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:18.596700249+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:18.598081268+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:18.602411465+01:00;ENABLE TEST CASE 2
2025-05-27 21:13:18.603548788+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:18.605513379+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:18.607186258+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:18.608534985+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:18.610246319+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:18.613463909+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:18.615420864+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:18.617341940+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:18.618695282+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:18.621018116+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:18.624713038+01:00;END ITERATION 2 WITH TEST CASE ORDER: 1 4 2
