PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
oddOrPos;1;0;0;7;7;0;0.000000;361;290;71;0.000000;-;-;-
oddOrPos;1;1;1;7;6;0;0.142857;361;266;71;0.082759;2025-05-27 21:13:18.426407627+01:00;2025-05-27 21:13:18.445903505+01:00;0.019495
oddOrPos;1;2;4;7;0;0;1.000000;361;71;71;0.755172;2025-05-27 21:13:18.447911778+01:00;2025-05-27 21:13:18.466844149+01:00;0.018932
oddOrPos;1;3;2;7;0;0;1.000000;361;64;71;0.779310;2025-05-27 21:13:18.468901969+01:00;2025-05-27 21:13:18.488172997+01:00;0.019271
oddOrPos;2;0;0;7;7;0;0.000000;361;290;71;0.000000;-;-;-
oddOrPos;2;1;1;7;6;0;0.142857;361;266;71;0.082759;2025-05-27 21:13:18.560913578+01:00;2025-05-27 21:13:18.579538807+01:00;0.018625
oddOrPos;2;2;4;7;0;0;1.000000;361;71;71;0.755172;2025-05-27 21:13:18.581457320+01:00;2025-05-27 21:13:18.599837792+01:00;0.01838
oddOrPos;2;3;2;7;0;0;1.000000;361;64;71;0.779310;2025-05-27 21:13:18.601755361+01:00;2025-05-27 21:13:18.620360235+01:00;0.018604
oddOrPos;3;0;0;7;7;0;0.000000;361;290;71;0.000000;-;-;-
oddOrPos;3;1;1;7;6;0;0.142857;361;266;71;0.082759;2025-05-27 21:13:18.692258325+01:00;2025-05-27 21:13:18.710592224+01:00;0.018333
oddOrPos;3;2;4;7;0;0;1.000000;361;71;71;0.755172;2025-05-27 21:13:18.712509139+01:00;2025-05-27 21:13:18.730895288+01:00;0.018386
oddOrPos;3;3;2;7;0;0;1.000000;361;64;71;0.779310;2025-05-27 21:13:18.732808434+01:00;2025-05-27 21:13:18.751187068+01:00;0.018378
oddOrPos;4;0;0;7;7;0;0.000000;361;290;71;0.000000;-;-;-
oddOrPos;4;1;4;7;0;0;1.000000;361;73;71;0.748276;2025-05-27 21:13:18.823256668+01:00;2025-05-27 21:13:18.841511289+01:00;0.018254
oddOrPos;4;2;2;7;0;0;1.000000;361;66;71;0.772414;2025-05-27 21:13:18.843428697+01:00;2025-05-27 21:13:18.862386413+01:00;0.018957
oddOrPos;4;3;1;7;0;0;1.000000;361;64;71;0.779310;2025-05-27 21:13:18.864434372+01:00;2025-05-27 21:13:18.882961836+01:00;0.018527
oddOrPos;5;0;0;7;7;0;0.000000;361;290;71;0.000000;-;-;-
oddOrPos;5;1;1;7;6;0;0.142857;361;266;71;0.082759;2025-05-27 21:13:18.955103627+01:00;2025-05-27 21:13:18.973743407+01:00;0.018639
oddOrPos;5;2;4;7;0;0;1.000000;361;71;71;0.755172;2025-05-27 21:13:18.975713472+01:00;2025-05-27 21:13:18.994389403+01:00;0.018675
oddOrPos;5;3;2;7;0;0;1.000000;361;64;71;0.779310;2025-05-27 21:13:18.996350331+01:00;2025-05-27 21:13:19.014853324+01:00;0.018502
oddOrPos;6;0;0;7;7;0;0.000000;361;290;71;0.000000;-;-;-
oddOrPos;6;1;1;7;6;0;0.142857;361;266;71;0.082759;2025-05-27 21:13:19.087056160+01:00;2025-05-27 21:13:19.105398456+01:00;0.018342
oddOrPos;6;2;2;7;1;0;0.857143;361;143;71;0.506897;2025-05-27 21:13:19.107384366+01:00;2025-05-27 21:13:19.126066976+01:00;0.018682
oddOrPos;6;3;4;7;0;0;1.000000;361;64;71;0.779310;2025-05-27 21:13:19.127960233+01:00;2025-05-27 21:13:19.146676708+01:00;0.018716
oddOrPos;7;0;0;7;7;0;0.000000;361;290;71;0.000000;-;-;-
oddOrPos;7;1;2;7;1;0;0.857143;361;145;71;0.500000;2025-05-27 21:13:19.220234442+01:00;2025-05-27 21:13:19.239540297+01:00;0.019305
oddOrPos;7;2;4;7;0;0;1.000000;361;66;71;0.772414;2025-05-27 21:13:19.241528964+01:00;2025-05-27 21:13:19.261134479+01:00;0.019605
oddOrPos;7;3;1;7;0;0;1.000000;361;64;71;0.779310;2025-05-27 21:13:19.263202855+01:00;2025-05-27 21:13:19.283168656+01:00;0.019965
oddOrPos;8;0;0;7;7;0;0.000000;361;290;71;0.000000;-;-;-
oddOrPos;8;1;4;7;0;0;1.000000;361;73;71;0.748276;2025-05-27 21:13:19.356799305+01:00;2025-05-27 21:13:19.375428942+01:00;0.018629
oddOrPos;8;2;1;7;0;0;1.000000;361;71;71;0.755172;2025-05-27 21:13:19.377425678+01:00;2025-05-27 21:13:19.396186017+01:00;0.01876
oddOrPos;8;3;2;7;0;0;1.000000;361;64;71;0.779310;2025-05-27 21:13:19.398173585+01:00;2025-05-27 21:13:19.416725570+01:00;0.018551
oddOrPos;9;0;0;7;7;0;0.000000;361;290;71;0.000000;-;-;-
oddOrPos;9;1;1;7;6;0;0.142857;361;266;71;0.082759;2025-05-27 21:13:19.489808187+01:00;2025-05-27 21:13:19.509087069+01:00;0.019278
oddOrPos;9;2;4;7;0;0;1.000000;361;71;71;0.755172;2025-05-27 21:13:19.511073545+01:00;2025-05-27 21:13:19.531118449+01:00;0.020044
oddOrPos;9;3;2;7;0;0;1.000000;361;64;71;0.779310;2025-05-27 21:13:19.533072796+01:00;2025-05-27 21:13:19.552505724+01:00;0.019432
oddOrPos;10;0;0;7;7;0;0.000000;361;290;71;0.000000;-;-;-
oddOrPos;10;1;1;7;6;0;0.142857;361;266;71;0.082759;2025-05-27 21:13:19.626229615+01:00;2025-05-27 21:13:19.644882212+01:00;0.018652
oddOrPos;10;2;2;7;1;0;0.857143;361;143;71;0.506897;2025-05-27 21:13:19.646750473+01:00;2025-05-27 21:13:19.665274553+01:00;0.018524
oddOrPos;10;3;4;7;0;0;1.000000;361;64;71;0.779310;2025-05-27 21:13:19.667178490+01:00;2025-05-27 21:13:19.685896423+01:00;0.018717
