Operator,NON_EQ,EQ,TOTAL
CCCR,395,60,455
CCDL,43,3,46
CCSR,619,131,750
CRCR,542,103,645
OAAA,28,0,28
OAAN,122,6,128
OABA,21,0,21
OABN,82,14,96
OAEA,7,0,7
OALN,56,8,64
OARN,174,18,192
OASA,14,0,14
OASN,60,4,64
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,34,0,34
OCOR,0,0,0
OEAA,108,17,125
OEBA,54,21,75
OESA,47,3,50
OIDO,22,2,24
OIPM,0,0,0
OLAN,50,20,70
OLBN,23,19,42
OLLN,11,3,14
OLNG,42,0,42
OLRN,65,19,84
OLSN,17,11,28
OODL,164,27,191
ORAN,151,54,205
ORBN,93,30,123
ORLN,70,14,84
ORRN,170,40,210
ORSN,75,7,82
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,8,0,8
SMTT,8,0,8
SMVB,5,0,5
SRSR,122,8,130
SSDL,128,8,136
SSWM,10,1,11
STRI,37,5,42
STRP,129,7,136
SWDD,0,0,0
VDTR,215,172,387
VGAR,26,10,36
VGPR,24,13,37
VGSR,0,0,0
VGTR,0,0,0
VLAR,1,0,1
VLPR,12,0,12
VLSR,990,129,1119
VLTR,0,0,0
VSCR,25,2,27
VTWD,216,42,258
VVDL,59,14,73
Total,5374,1045,6419
