2025-05-27 21:13:19.802899795+01:00;START ITERATION 1 WITH TEST CASE ORDER: 34 1 8 36 2 7 33 35 11 6
2025-05-27 21:13:19.803591199+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:19.871852058+01:00;ENABLE TEST CASE 34
2025-05-27 21:13:19.873068711+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:19.889063632+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:19.896957476+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:19.902898914+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:19.912282833+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:19.923652945+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:19.939472013+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:19.954846451+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:19.960674219+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:19.972588219+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:19.973784683+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:19.989855008+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:19.997687831+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:20.003502064+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:20.012820537+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:20.023672516+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:20.039540788+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:20.054604791+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:20.060354933+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:20.072540137+01:00;ENABLE TEST CASE 8
2025-05-27 21:13:20.073826544+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:20.089764090+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:20.097518025+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:20.103386511+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:20.112574446+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:20.123342441+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:20.139399001+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:20.156181041+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:20.161949064+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:20.174181269+01:00;ENABLE TEST CASE 36
2025-05-27 21:13:20.175338094+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:20.191619744+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:20.199570861+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:20.205719745+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:20.215437878+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:20.227843576+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:20.244228128+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:20.259256355+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:20.264995443+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:20.277305930+01:00;ENABLE TEST CASE 2
2025-05-27 21:13:20.278503533+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:20.294455805+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:20.302145402+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:20.307764185+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:20.317066174+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:20.327877043+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:20.343378223+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:20.358887475+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:20.364970478+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:20.377272821+01:00;ENABLE TEST CASE 7
2025-05-27 21:13:20.378369653+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:20.394768522+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:20.402615609+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:20.408643215+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:20.418311431+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:20.429303184+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:20.445240051+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:20.460650890+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:20.466652216+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:20.478836826+01:00;ENABLE TEST CASE 33
2025-05-27 21:13:20.479957919+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:20.496197370+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:20.504861739+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:20.511350048+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:20.520692948+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:20.531908229+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:20.547941125+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:20.563468275+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:20.569349409+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:20.581275968+01:00;ENABLE TEST CASE 35
