Operator,NON_EQ,EQ,TOTAL
CCCR,22,3,25
CCDL,3,1,4
CCSR,46,0,46
CRCR,80,0,80
OAAA,0,0,0
OAAN,12,0,12
OABA,0,0,0
OABN,9,0,9
OAEA,0,0,0
OALN,6,0,6
OARN,16,2,18
OASA,0,0,0
OASN,5,1,6
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,6,0,6
OCOR,0,0,0
OEAA,32,8,40
OEBA,11,13,24
OESA,14,2,16
OIDO,4,0,4
OIPM,0,0,0
OLAN,0,0,0
OLBN,0,0,0
OLLN,0,0,0
OLNG,0,0,0
OLRN,0,0,0
OLSN,0,0,0
OODL,15,1,16
ORAN,22,3,25
ORBN,13,2,15
ORLN,9,1,10
ORRN,21,4,25
ORSN,9,1,10
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,1,1
SBRn,1,0,1
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,2,1,3
SMTT,3,0,3
SMVB,1,0,1
SRSR,27,0,27
SSDL,24,1,25
SSWM,0,0,0
STRI,6,0,6
STRP,25,0,25
SWDD,1,0,1
VDTR,23,25,48
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,131,5,136
VLTR,0,0,0
VSCR,0,0,0
VTWD,30,2,32
VVDL,9,0,9
Total,638,77,715
