2025-05-27 21:13:33.704711795+01:00;START ITERATION 6 WITH TEST CASE ORDER: 1 5 4
2025-05-27 21:13:33.705391207+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:33.719193570+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:33.720339794+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:33.722993745+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:33.724934787+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:33.726532753+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:33.728624364+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:33.732194080+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:33.734866643+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:33.737533237+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:33.739164401+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:33.743906866+01:00;ENABLE TEST CASE 5
2025-05-27 21:13:33.745016254+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:33.747624625+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:33.749522900+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:33.751158163+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:33.753275646+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:33.756801430+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:33.759509507+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:33.762230283+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:33.763804027+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:33.768415139+01:00;ENABLE TEST CASE 4
2025-05-27 21:13:33.769515572+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:33.772176174+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:33.774160793+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:33.775725510+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:33.777824873+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:33.781332966+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:33.783959571+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:33.786643639+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:33.788256971+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:33.791025385+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:33.796311823+01:00;END ITERATION 6 WITH TEST CASE ORDER: 1 5 4
