PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
printPrimes;1;0;0;25;24;1;0.000000;715;638;77;0.000000;-;-;-
printPrimes;1;1;4;25;6;1;0.750000;715;158;77;0.752351;2025-05-27 21:13:32.958247769+01:00;2025-05-27 21:13:32.981137062+01:00;0.022889
printPrimes;1;2;5;25;0;1;1.000000;715;18;77;0.971787;2025-05-27 21:13:32.983156584+01:00;2025-05-27 21:13:33.006174656+01:00;0.023018
printPrimes;1;3;1;25;0;1;1.000000;715;12;77;0.981191;2025-05-27 21:13:33.008154326+01:00;2025-05-27 21:13:33.031141850+01:00;0.022987
printPrimes;2;0;0;25;24;1;0.000000;715;638;77;0.000000;-;-;-
printPrimes;2;1;5;25;0;1;1.000000;715;21;77;0.967085;2025-05-27 21:13:33.108516573+01:00;2025-05-27 21:13:33.131441535+01:00;0.022924
printPrimes;2;2;1;25;0;1;1.000000;715;14;77;0.978056;2025-05-27 21:13:33.133369848+01:00;2025-05-27 21:13:33.156288383+01:00;0.022918
printPrimes;2;3;4;25;0;1;1.000000;715;12;77;0.981191;2025-05-27 21:13:33.158246420+01:00;2025-05-27 21:13:33.180946410+01:00;0.022699
printPrimes;3;0;0;25;24;1;0.000000;715;638;77;0.000000;-;-;-
printPrimes;3;1;5;25;0;1;1.000000;715;21;77;0.967085;2025-05-27 21:13:33.261437546+01:00;2025-05-27 21:13:33.285098698+01:00;0.023661
printPrimes;3;2;4;25;0;1;1.000000;715;18;77;0.971787;2025-05-27 21:13:33.287033667+01:00;2025-05-27 21:13:33.310725736+01:00;0.023692
printPrimes;3;3;1;25;0;1;1.000000;715;12;77;0.981191;2025-05-27 21:13:33.312696081+01:00;2025-05-27 21:13:33.336248239+01:00;0.023552
printPrimes;4;0;0;25;24;1;0.000000;715;638;77;0.000000;-;-;-
printPrimes;4;1;4;25;6;1;0.750000;715;158;77;0.752351;2025-05-27 21:13:33.415133244+01:00;2025-05-27 21:13:33.438545896+01:00;0.023412
printPrimes;4;2;5;25;0;1;1.000000;715;18;77;0.971787;2025-05-27 21:13:33.440520133+01:00;2025-05-27 21:13:33.463543165+01:00;0.023023
printPrimes;4;3;1;25;0;1;1.000000;715;12;77;0.981191;2025-05-27 21:13:33.465595201+01:00;2025-05-27 21:13:33.488612441+01:00;0.023017
printPrimes;5;0;0;25;24;1;0.000000;715;638;77;0.000000;-;-;-
printPrimes;5;1;4;25;6;1;0.750000;715;158;77;0.752351;2025-05-27 21:13:33.566796521+01:00;2025-05-27 21:13:33.589792768+01:00;0.022996
printPrimes;5;2;5;25;0;1;1.000000;715;18;77;0.971787;2025-05-27 21:13:33.591704098+01:00;2025-05-27 21:13:33.614423590+01:00;0.022719
printPrimes;5;3;1;25;0;1;1.000000;715;12;77;0.981191;2025-05-27 21:13:33.616287227+01:00;2025-05-27 21:13:33.638989453+01:00;0.022702
printPrimes;6;0;0;25;24;1;0.000000;715;638;77;0.000000;-;-;-
printPrimes;6;1;1;25;18;1;0.250000;715;450;77;0.294671;2025-05-27 21:13:33.718431945+01:00;2025-05-27 21:13:33.741302714+01:00;0.02287
printPrimes;6;2;5;25;0;1;1.000000;715;14;77;0.978056;2025-05-27 21:13:33.743210902+01:00;2025-05-27 21:13:33.765861354+01:00;0.02265
printPrimes;6;3;4;25;0;1;1.000000;715;12;77;0.981191;2025-05-27 21:13:33.767817168+01:00;2025-05-27 21:13:33.790376221+01:00;0.022559
printPrimes;7;0;0;25;24;1;0.000000;715;638;77;0.000000;-;-;-
printPrimes;7;1;4;25;6;1;0.750000;715;158;77;0.752351;2025-05-27 21:13:33.869816921+01:00;2025-05-27 21:13:33.892997515+01:00;0.02318
printPrimes;7;2;1;25;6;1;0.750000;715;144;77;0.774295;2025-05-27 21:13:33.895111226+01:00;2025-05-27 21:13:33.918547886+01:00;0.023436
printPrimes;7;3;5;25;0;1;1.000000;715;12;77;0.981191;2025-05-27 21:13:33.920594741+01:00;2025-05-27 21:13:33.944670342+01:00;0.024075
printPrimes;8;0;0;25;24;1;0.000000;715;638;77;0.000000;-;-;-
printPrimes;8;1;4;25;6;1;0.750000;715;158;77;0.752351;2025-05-27 21:13:34.023313166+01:00;2025-05-27 21:13:34.046320647+01:00;0.023007
