2025-05-27 21:13:37.967995068+01:00;START ITERATION 4 WITH TEST CASE ORDER: 11 3 2 1 8 27 5 4 7 26 29 10 16 12
2025-05-27 21:13:37.968686422+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:38.015740828+01:00;ENABLE TEST CASE 11
2025-05-27 21:13:38.016937317+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:38.027683629+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:38.033426768+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:38.037637271+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:38.044492302+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:38.052537626+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:38.063393228+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:38.074007581+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:38.078031036+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:38.087531651+01:00;ENABLE TEST CASE 3
2025-05-27 21:13:38.088642425+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:38.099417716+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:38.105196888+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:38.109443808+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:38.116094036+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:38.124225465+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:38.135089813+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:38.145636243+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:38.149851974+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:38.159255408+01:00;ENABLE TEST CASE 2
2025-05-27 21:13:38.160394049+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:38.171406841+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:38.176920853+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:38.181213620+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:38.187700519+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:38.195849708+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:38.206871322+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:38.217539429+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:38.221755396+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:38.231072760+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:38.232285561+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:38.243895790+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:38.249634296+01:00;GENERATING SSDL REPORT
