2025-05-27 21:13:46.119503317+01:00;START ITERATION 1 WITH TEST CASE ORDER: 1 3 24 20 4 7 2
2025-05-27 21:13:46.120256807+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:46.171702574+01:00;ENABLE TEST CASE 1
2025-05-27 21:13:46.172973605+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:46.185404217+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.191666689+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:46.196110170+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:46.203235811+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:46.211766546+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:46.223486240+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.234667928+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:46.239041356+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:46.249433770+01:00;ENABLE TEST CASE 3
2025-05-27 21:13:46.250793628+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:46.263356665+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.269825709+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:46.274222914+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:46.281437305+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:46.289912938+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:46.301869380+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.313252660+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:46.317620847+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:46.327608071+01:00;ENABLE TEST CASE 24
2025-05-27 21:13:46.328846617+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:46.340603236+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.346914344+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:46.351311869+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:46.358619838+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:46.367886532+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:46.379679418+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.391034417+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:46.395192029+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:46.405085051+01:00;ENABLE TEST CASE 20
2025-05-27 21:13:46.406262758+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:46.418493903+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.424782340+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:46.429198623+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:46.436347249+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:46.445066335+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:46.457115138+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.468544067+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:46.472833040+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:46.482702811+01:00;ENABLE TEST CASE 4
2025-05-27 21:13:46.483867246+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:46.495722928+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.502042932+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:46.506397464+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:46.513547987+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:46.522334445+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:46.533913233+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.545435566+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:46.549722728+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:46.559747011+01:00;ENABLE TEST CASE 7
2025-05-27 21:13:46.560868832+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:46.573421817+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.579661520+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:46.584005512+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:46.591273666+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:46.599562096+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:46.611184336+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.622426042+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:46.626704602+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:46.636463392+01:00;ENABLE TEST CASE 2
2025-05-27 21:13:46.637734719+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:46.649482034+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.655781631+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:46.660173557+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:46.667116080+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:46.675741965+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:46.687587873+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:46.699152103+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:46.703298983+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:46.710965169+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:46.734389828+01:00;END ITERATION 1 WITH TEST CASE ORDER: 1 3 24 20 4 7 2
