PROG,FUN,LOC,TOTAL,EQ,NON_EQ,SSDL,EQ_SSDL,NON_EQ_SSDL,TS
boundedQueue,6,49,1121,100,1021,45,4,41,13
cal,1,18,891,71,820,11,0,11,7
Calculation,7,40,1118,106,1012,36,3,33,12
checkIt,1,9,104,59,45,6,2,4,9
CheckPalindrome,1,10,166,21,145,8,0,8,7
countPositive,1,9,151,9,142,7,0,7,5
date-plus,3,132,2421,164,2257,89,1,88,48
DigitReverser,1,17,496,45,451,15,0,15,4
findLast,1,10,198,9,189,7,0,7,6
findVal,1,7,190,14,176,5,0,5,6
Gaussian,6,23,1086,28,1058,24,0,24,20
Heap,7,41,1079,104,975,38,2,36,7
InversePermutation,1,15,576,61,515,13,0,13,11
jday-jdate,2,39,2821,84,2737,32,1,31,26
lastZero,1,9,173,10,163,7,0,7,4
LRS,5,51,1132,290,842,37,4,33,7
MergeSort,3,32,991,32,959,23,0,23,17
numZero,1,10,151,12,139,7,0,7,4
oddOrPos,1,9,361,71,290,7,0,7,6
pcal,8,204,6419,1045,5374,136,8,128,52
power,1,11,268,8,260,9,0,9,8
printPrimes,2,35,715,77,638,25,1,24,6
print_tokens,17,349,4336,539,3797,227,24,203,34
print_tokens2,18,275,4746,690,4056,232,28,204,27
Queue,6,64,469,38,431,51,4,47,11
quicksort,1,23,1026,66,960,22,0,22,13
RecursiveSelectionSort,1,17,555,37,518,14,0,14,7
replace,20,394,11101,466,10635,256,0,256,151
schedule,18,213,2109,206,1903,148,16,132,44
schedule2,16,195,2627,417,2210,143,26,117,42
Stack,6,56,461,53,408,49,9,40,10
stats,1,19,884,117,767,17,2,15,7
sum,1,7,165,18,147,5,0,5,5
tcas,8,63,2384,419,1965,46,4,42,62
testPad,1,24,629,61,568,16,1,15,13
totinfo,7,214,6698,409,6289,126,0,126,48
trashAndTakeOut,2,19,599,19,580,15,1,14,11
twoPred,1,10,246,26,220,7,1,6,9
UnixCal,4,119,4855,343,4512,101,4,97,28
