Operator,NON_EQ,EQ,TOTAL
CCCR,0,0,0
CCDL,2,0,2
CCSR,37,0,37
CRCR,183,2,185
OAAA,0,0,0
OAAN,8,0,8
OABA,0,0,0
OABN,6,0,6
OAEA,0,0,0
OALN,4,0,4
OARN,12,0,12
OASA,0,0,0
OASN,4,0,4
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,5,0,5
OCOR,0,0,0
OEAA,45,0,45
OEBA,26,1,27
OESA,18,0,18
OIDO,2,0,2
OIPM,0,0,0
OLAN,4,1,5
OLBN,2,1,3
OLLN,1,0,1
OLNG,3,0,3
OLRN,6,0,6
OLSN,2,0,2
OODL,18,0,18
ORAN,29,1,30
ORBN,17,1,18
ORLN,12,0,12
ORRN,26,4,30
ORSN,12,0,12
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,3,0,3
SMTT,3,0,3
SMVB,0,1,1
SRSR,22,0,22
SSDL,22,0,22
SSWM,0,0,0
STRI,4,0,4
STRP,22,0,22
SWDD,1,2,3
VDTR,77,34,111
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,240,12,252
VLTR,0,0,0
VSCR,0,0,0
VTWD,68,6,74
VVDL,14,0,14
Total,960,66,1026
