2025-05-27 21:13:56.213187307+01:00;START ITERATION 3 WITH TEST CASE ORDER: 8 3 4 7 9
2025-05-27 21:13:56.213962524+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:13:56.230386467+01:00;ENABLE TEST CASE 8
2025-05-27 21:13:56.231624760+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:56.235069068+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:56.237389633+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:56.239448222+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:56.242006008+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:56.245953247+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:56.249315359+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:56.252859465+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:56.254782809+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:56.260265497+01:00;ENABLE TEST CASE 3
2025-05-27 21:13:56.261455740+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:56.264926679+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:56.267175587+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:56.269249333+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:56.271893893+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:56.276056007+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:56.279475064+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:56.283026168+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:56.284881314+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:56.290314304+01:00;ENABLE TEST CASE 4
2025-05-27 21:13:56.291490401+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:56.294825998+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:56.296989092+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:56.298785602+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:56.301384060+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:56.305238567+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:56.308737749+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:56.312221253+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:56.314090260+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:56.319227216+01:00;ENABLE TEST CASE 7
2025-05-27 21:13:56.320444931+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:56.323752312+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:56.325914926+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:56.327706429+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:56.330221846+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:56.334157228+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:56.337602517+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:56.340994864+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:56.342766359+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:56.347959095+01:00;ENABLE TEST CASE 9
2025-05-27 21:13:56.349093738+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:13:56.352518443+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:13:56.354832386+01:00;GENERATING SSDL REPORT
2025-05-27 21:13:56.356672757+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:13:56.359177938+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:13:56.363171164+01:00;ENABLE ALL MUTANTS
2025-05-27 21:13:56.366548864+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:13:56.369950140+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:13:56.371790361+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:13:56.374993156+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:13:56.381844315+01:00;END ITERATION 3 WITH TEST CASE ORDER: 8 3 4 7 9
