PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
quicksort;1;0;0;22;22;0;0.000000;1026;960;66;0.000000;-;-;-
quicksort;1;1;3;22;13;0;0.409091;1026;572;66;0.404167;2025-05-27 21:13:55.770414409+01:00;2025-05-27 21:13:55.797280274+01:00;0.026865
quicksort;1;2;7;22;3;0;0.863636;1026;214;66;0.777083;2025-05-27 21:13:55.799247009+01:00;2025-05-27 21:13:55.827563444+01:00;0.028316
quicksort;1;3;8;22;1;0;0.954545;1026;76;66;0.920833;2025-05-27 21:13:55.829662981+01:00;2025-05-27 21:13:55.857433036+01:00;0.02777
quicksort;1;4;9;22;0;0;1.000000;1026;27;66;0.971875;2025-05-27 21:13:55.859486883+01:00;2025-05-27 21:13:55.887318147+01:00;0.027831
quicksort;1;5;4;22;0;0;1.000000;1026;25;66;0.973958;2025-05-27 21:13:55.889337246+01:00;2025-05-27 21:13:55.917007266+01:00;0.02767
quicksort;2;0;0;22;22;0;0.000000;1026;960;66;0.000000;-;-;-
quicksort;2;1;9;22;1;0;0.954545;1026;111;66;0.884375;2025-05-27 21:13:56.001521675+01:00;2025-05-27 21:13:56.028400243+01:00;0.026878
quicksort;2;2;3;22;1;0;0.954545;1026;109;66;0.886458;2025-05-27 21:13:56.030304032+01:00;2025-05-27 21:13:56.057300417+01:00;0.026996
quicksort;2;3;8;22;0;0;1.000000;1026;35;66;0.963542;2025-05-27 21:13:56.059288119+01:00;2025-05-27 21:13:56.086780472+01:00;0.027492
quicksort;2;4;4;22;0;0;1.000000;1026;32;66;0.966667;2025-05-27 21:13:56.088721260+01:00;2025-05-27 21:13:56.115658518+01:00;0.026937
quicksort;2;5;7;22;0;0;1.000000;1026;25;66;0.973958;2025-05-27 21:13:56.117545691+01:00;2025-05-27 21:13:56.144380949+01:00;0.026835
quicksort;3;0;0;22;22;0;0.000000;1026;960;66;0.000000;-;-;-
quicksort;3;1;8;22;1;0;0.954545;1026;85;66;0.911458;2025-05-27 21:13:56.229587479+01:00;2025-05-27 21:13:56.257317966+01:00;0.02773
quicksort;3;2;3;22;1;0;0.954545;1026;85;66;0.911458;2025-05-27 21:13:56.259513410+01:00;2025-05-27 21:13:56.287587721+01:00;0.028074
quicksort;3;3;4;22;1;0;0.954545;1026;65;66;0.932292;2025-05-27 21:13:56.289630990+01:00;2025-05-27 21:13:56.316737697+01:00;0.027106
quicksort;3;4;7;22;1;0;0.954545;1026;57;66;0.940625;2025-05-27 21:13:56.318602934+01:00;2025-05-27 21:13:56.345338379+01:00;0.026735
quicksort;3;5;9;22;0;0;1.000000;1026;25;66;0.973958;2025-05-27 21:13:56.347241815+01:00;2025-05-27 21:13:56.374366572+01:00;0.027124
quicksort;4;0;0;22;22;0;0.000000;1026;960;66;0.000000;-;-;-
quicksort;4;1;8;22;1;0;0.954545;1026;85;66;0.911458;2025-05-27 21:13:56.458591884+01:00;2025-05-27 21:13:56.485788399+01:00;0.027196
quicksort;4;2;3;22;1;0;0.954545;1026;85;66;0.911458;2025-05-27 21:13:56.487844019+01:00;2025-05-27 21:13:56.515263678+01:00;0.027419
quicksort;4;3;4;22;1;0;0.954545;1026;65;66;0.932292;2025-05-27 21:13:56.517383425+01:00;2025-05-27 21:13:56.545134703+01:00;0.027751
quicksort;4;4;9;22;0;0;1.000000;1026;32;66;0.966667;2025-05-27 21:13:56.547140613+01:00;2025-05-27 21:13:56.574442947+01:00;0.027302
quicksort;4;5;7;22;0;0;1.000000;1026;25;66;0.973958;2025-05-27 21:13:56.576422521+01:00;2025-05-27 21:13:56.604049880+01:00;0.027627
quicksort;5;0;0;22;22;0;0.000000;1026;960;66;0.000000;-;-;-
quicksort;5;1;7;22;3;0;0.863636;1026;247;66;0.742708;2025-05-27 21:13:56.688864657+01:00;2025-05-27 21:13:56.715919702+01:00;0.027055
quicksort;5;2;8;22;1;0;0.954545;1026;76;66;0.920833;2025-05-27 21:13:56.717825556+01:00;2025-05-27 21:13:56.744978224+01:00;0.027152
quicksort;5;3;4;22;1;0;0.954545;1026;57;66;0.940625;2025-05-27 21:13:56.746931560+01:00;2025-05-27 21:13:56.774336245+01:00;0.027404
quicksort;5;4;3;22;1;0;0.954545;1026;57;66;0.940625;2025-05-27 21:13:56.776309607+01:00;2025-05-27 21:13:56.803804343+01:00;0.027494
quicksort;5;5;9;22;0;0;1.000000;1026;25;66;0.973958;2025-05-27 21:13:56.805794607+01:00;2025-05-27 21:13:56.833028968+01:00;0.027234
quicksort;6;0;0;22;22;0;0.000000;1026;960;66;0.000000;-;-;-
quicksort;6;1;7;22;3;0;0.863636;1026;247;66;0.742708;2025-05-27 21:13:56.917456691+01:00;2025-05-27 21:13:56.945475620+01:00;0.028018
quicksort;6;2;9;22;1;0;0.954545;1026;84;66;0.912500;2025-05-27 21:13:56.947386669+01:00;2025-05-27 21:13:56.975118805+01:00;0.027732
quicksort;6;3;3;22;1;0;0.954545;1026;84;66;0.912500;2025-05-27 21:13:56.977156486+01:00;2025-05-27 21:13:57.004148876+01:00;0.026992
quicksort;6;4;8;22;0;0;1.000000;1026;27;66;0.971875;2025-05-27 21:13:57.006153781+01:00;2025-05-27 21:13:57.033048476+01:00;0.026894
quicksort;6;5;4;22;0;0;1.000000;1026;25;66;0.973958;2025-05-27 21:13:57.034852830+01:00;2025-05-27 21:13:57.062060442+01:00;0.027207
quicksort;7;0;0;22;22;0;0.000000;1026;960;66;0.000000;-;-;-
quicksort;7;1;4;22;12;0;0.454545;1026;567;66;0.409375;2025-05-27 21:13:57.146194059+01:00;2025-05-27 21:13:57.173554040+01:00;0.027359
