2025-05-27 21:14:22.747557751+01:00;START ITERATION 6 WITH TEST CASE ORDER: 47 101 5 74 23 11 18 73 63 29 1 71 49 109 31 17 2 9 103 111 6 99 13
2025-05-27 21:14:22.748277886+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:14:22.877856053+01:00;ENABLE TEST CASE 47
2025-05-27 21:14:22.879191574+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:22.905237691+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:22.918071589+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:22.933957083+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:22.948447551+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:22.972159314+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:22.998465338+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:23.030035680+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:23.046064372+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:23.063334303+01:00;ENABLE TEST CASE 101
2025-05-27 21:14:23.064440405+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:23.090568316+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:23.103010505+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:23.118622765+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:23.133048644+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:23.156445854+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:23.181620236+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:23.212738589+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:23.228575968+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:23.246203071+01:00;ENABLE TEST CASE 5
2025-05-27 21:14:23.247316889+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:23.274083558+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:23.286770906+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:23.302790719+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:23.317760018+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:23.341801406+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:23.369206461+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:23.401046024+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:23.419091553+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:23.437531923+01:00;ENABLE TEST CASE 74
2025-05-27 21:14:23.438785918+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:23.465683646+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:23.478324189+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:23.494457893+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:23.509410126+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:23.533253901+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:23.559403164+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:23.590475932+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:23.605987511+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:23.623829971+01:00;ENABLE TEST CASE 23
2025-05-27 21:14:23.625035468+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:23.651489950+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:23.664004515+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:23.679781694+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:23.694258680+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:23.718196133+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:23.744105310+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:23.775181340+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:23.791185765+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:23.808824928+01:00;ENABLE TEST CASE 11
2025-05-27 21:14:23.809978357+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:23.837141093+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:23.850069844+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:23.866818789+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:23.882251204+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:23.906898437+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:23.934284070+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:23.966687950+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:23.982776296+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:24.000447824+01:00;ENABLE TEST CASE 18
2025-05-27 21:14:24.001548872+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:24.032160407+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:24.045136413+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:24.061525752+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:24.076601748+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:24.101481890+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:24.127849395+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:24.159432759+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:24.175658846+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:24.193490507+01:00;ENABLE TEST CASE 73
2025-05-27 21:14:24.194795978+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:24.221138928+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:24.233875709+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:24.250174028+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:24.265042191+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:24.289299970+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:24.315498117+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:24.347220669+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:24.364153222+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:24.382002808+01:00;ENABLE TEST CASE 63
2025-05-27 21:14:24.383058606+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:24.409783626+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:24.422600780+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:24.439027154+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:24.454084480+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:24.478097992+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:24.504457939+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:24.535658619+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:24.551508868+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:24.569121023+01:00;ENABLE TEST CASE 29
2025-05-27 21:14:24.570224634+01:00;ENABLE ONLY SSDL MUTANTS
