PROG;SEQ;ALIVE-OP;SCORE-OP;ALIVE-ALL;SCORE-ALL
replace;0;256.0;0.00000;10634.0;0.00000
replace;1;139.3;0.45586;7181.0;0.32471
replace;2;106.5;0.58398;5843.3;0.45051
replace;3;79.7;0.68867;4867.8;0.54224
replace;4;64.1;0.74961;4092.7;0.61513
replace;5;56.0;0.78125;3507.2;0.67019
replace;6;40.5;0.84180;2901.4;0.72716
replace;7;31.2;0.87813;2597.9;0.75570
replace;8;29.6;0.88438;2310.9;0.78269
replace;9;23.8;0.90703;2010.9;0.81090
replace;10;22.3;0.91289;1900.0;0.82133
replace;11;17.7;0.93086;1710.9;0.83911
replace;12;17.4;0.93203;1651.4;0.84471
replace;13;12.9;0.94961;1451.5;0.86350
replace;14;12.7;0.95039;1384.5;0.86980
replace;15;12.6;0.95078;1338.0;0.87418
replace;16;12.5;0.95117;1302.5;0.87752
replace;17;12.3;0.95195;1274.0;0.88020
replace;18;12.2;0.95234;1220.1;0.88526
replace;19;11.9;0.95352;1149.7;0.89188
replace;20;3.7;0.98555;802.8;0.92451
replace;21;0.0;1.00000;617.0;0.94198
replace;22;0.0;1.00000;578.3;0.94562
replace;23;0.0;1.00000;569.0;0.94649
