2025-05-27 21:14:48.431885709+01:00;START ITERATION 5 WITH TEST CASE ORDER: 5 43 27 4 3 37 25 10 38 2 1
2025-05-27 21:14:48.432588440+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:14:48.460726589+01:00;ENABLE TEST CASE 5
2025-05-27 21:14:48.461936165+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:48.467974128+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:48.471582784+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:48.474555203+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:48.478420773+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:48.484117082+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:48.490404761+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:48.496511116+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:48.499521631+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:48.506392501+01:00;ENABLE TEST CASE 43
2025-05-27 21:14:48.507445308+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:48.513432322+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:48.517025282+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:48.519885286+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:48.523956719+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:48.529633080+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:48.535629994+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:48.541741039+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:48.544588070+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:48.551184918+01:00;ENABLE TEST CASE 27
2025-05-27 21:14:48.552276464+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:48.558198399+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:48.561726888+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:48.564553070+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:48.568424661+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:48.574221131+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:48.580366955+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:48.586530334+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:48.589488934+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:48.596380135+01:00;ENABLE TEST CASE 4
2025-05-27 21:14:48.597491312+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:48.603380969+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:48.606967212+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:48.609937642+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:48.613859513+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:48.619574442+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:48.625433597+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:48.631440698+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:48.634381031+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:48.641164536+01:00;ENABLE TEST CASE 3
2025-05-27 21:14:48.642278196+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:48.648365636+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:48.651833115+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:48.654698839+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:48.658618759+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:48.664307151+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:48.670179081+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:48.676109994+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:48.678962855+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:48.685850040+01:00;ENABLE TEST CASE 37
2025-05-27 21:14:48.686995381+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:48.692881181+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:48.696527179+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:48.699445809+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:48.703353720+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:48.709208414+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:48.714952562+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:48.721125965+01:00;GENERATING ALL MUTANTS REPORT
