2025-05-27 21:14:52.063933239+01:00;START ITERATION 1 WITH TEST CASE ORDER: 1 18 23 5 3 2 29 25 7 34 4 9 39 6 10
2025-05-27 21:14:52.064641713+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:14:52.097013781+01:00;ENABLE TEST CASE 1
2025-05-27 21:14:52.098285855+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:52.106154951+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:52.110095519+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:52.113356844+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:52.117710234+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:52.124100269+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:52.130979696+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:52.137729266+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:52.140825973+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:52.148054713+01:00;ENABLE TEST CASE 18
2025-05-27 21:14:52.149110744+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:52.155958004+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:52.159902816+01:00;GENERATING SSDL REPORT
2025-05-27 21:14:52.163244882+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:14:52.167755490+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:14:52.174062026+01:00;ENABLE ALL MUTANTS
2025-05-27 21:14:52.181258615+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:14:52.188619411+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:14:52.191836890+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:14:52.199349546+01:00;ENABLE TEST CASE 23
2025-05-27 21:14:52.200469362+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:14:52.207838966+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:14:52.211978241+01:00;GENERATING SSDL REPORT
