2025-05-27 21:15:04.167459823+01:00;START ITERATION 10 WITH TEST CASE ORDER: 1 2
2025-05-27 21:15:04.168122400+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:15:04.183270280+01:00;ENABLE TEST CASE 1
2025-05-27 21:15:04.184478937+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:04.187699729+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:04.189991504+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:04.191771347+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:04.194188910+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:04.198311874+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:04.201516064+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:04.204704391+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:04.206462684+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:04.211545148+01:00;ENABLE TEST CASE 2
2025-05-27 21:15:04.212643211+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:04.215709726+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:04.217758153+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:04.219556842+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:04.221899474+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:04.225673228+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:04.228790054+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:04.231837013+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:04.233537099+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:04.236536586+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:15:04.242474502+01:00;END ITERATION 10 WITH TEST CASE ORDER: 1 2
