Operator,NON_EQ,EQ,TOTAL
CCCR,0,0,0
CCDL,0,0,0
CCSR,6,0,6
CRCR,29,1,30
OAAA,0,0,0
OAAN,4,0,4
OABA,0,0,0
OABN,1,2,3
OAEA,0,0,0
OALN,2,0,2
OARN,6,0,6
OASA,0,0,0
OASN,2,0,2
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,1,0,1
OCOR,0,0,0
OEAA,9,1,10
OEBA,4,2,6
OESA,4,0,4
OIDO,1,0,1
OIPM,0,0,0
OLAN,0,0,0
OLBN,0,0,0
OLLN,0,0,0
OLNG,0,0,0
OLRN,0,0,0
OLSN,0,0,0
OODL,4,0,4
ORAN,4,1,5
ORBN,2,1,3
ORLN,2,0,2
ORRN,3,2,5
ORSN,2,0,2
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,0,1,1
SMTT,1,0,1
SMVB,1,0,1
SRSR,3,0,3
SSDL,5,0,5
SSWM,0,0,0
STRI,0,0,0
STRP,5,0,5
SWDD,0,0,0
VDTR,14,4,18
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,18,1,19
VLTR,0,0,0
VSCR,0,0,0
VTWD,10,2,12
VVDL,4,0,4
Total,147,18,165
