2025-05-27 21:15:05.302025258+01:00;START ITERATION 9 WITH TEST CASE ORDER: 1 3 2
2025-05-27 21:15:05.302750983+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:15:05.311454251+01:00;ENABLE TEST CASE 1
2025-05-27 21:15:05.312635904+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:05.314299754+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:05.315602438+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:05.317003794+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:05.318593249+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:05.321714787+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:05.323283363+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:05.325016445+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:05.326345134+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:05.330716244+01:00;ENABLE TEST CASE 3
2025-05-27 21:15:05.331809087+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:05.333568681+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:05.334894645+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:05.336315193+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:05.337905109+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:05.341172183+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:05.342788588+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:05.344410139+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:05.345721495+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:05.350139192+01:00;ENABLE TEST CASE 2
2025-05-27 21:15:05.351218729+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:05.352719155+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:05.354278135+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:05.355541032+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:05.357132002+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:05.360231831+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:05.361797145+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:05.363502761+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:05.365025793+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:05.367330451+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:15:05.370118793+01:00;END ITERATION 9 WITH TEST CASE ORDER: 1 3 2
