2025-05-27 21:15:08.789830810+01:00;START ITERATION 5 WITH TEST CASE ORDER: 16 2 13 31 10 9 12 3 7 11 1 5 36 28
2025-05-27 21:15:08.790508570+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:15:08.821476941+01:00;ENABLE TEST CASE 16
2025-05-27 21:15:08.822723226+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:08.829477384+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:08.833455226+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:08.836671258+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:08.840954243+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:08.847327194+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:08.853943528+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:08.860561053+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:08.863825595+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:08.870892265+01:00;ENABLE TEST CASE 2
2025-05-27 21:15:08.872004989+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:08.878661298+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:08.882476106+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:08.885760416+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:08.890181630+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:08.896536496+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:08.903177688+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:08.909783515+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:08.913142627+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:08.920120963+01:00;ENABLE TEST CASE 13
2025-05-27 21:15:08.921197610+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:08.927749379+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:08.931521713+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:08.934831811+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:08.939157453+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:08.945409123+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:08.951920127+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:08.958613586+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:08.961802595+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:08.968935814+01:00;ENABLE TEST CASE 31
2025-05-27 21:15:08.970152694+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:08.976756692+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:08.980676374+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:08.983954675+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:08.988218496+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:08.994578096+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:09.001238447+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:09.007826641+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:09.011122756+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:09.018179593+01:00;ENABLE TEST CASE 10
2025-05-27 21:15:09.019327498+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:09.025904841+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:09.029817459+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:09.033008905+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:09.037262553+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:09.043443103+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:09.050199403+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:09.056870479+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:09.060332088+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:09.067178758+01:00;ENABLE TEST CASE 9
2025-05-27 21:15:09.068268666+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:09.074872834+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:09.078936545+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:09.082164641+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:09.086352775+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:09.092445936+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:09.099123837+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:09.105730200+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:09.109092487+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:09.116020697+01:00;ENABLE TEST CASE 12
2025-05-27 21:15:09.117381641+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:09.123913300+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:09.127709867+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:09.130896956+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:09.135260017+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:09.141494369+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:09.148104013+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:09.154636665+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:09.157952780+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:09.164992676+01:00;ENABLE TEST CASE 3
2025-05-27 21:15:09.166152968+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:09.172719296+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:09.176461136+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:09.179651616+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:09.183936969+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:09.190388069+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:09.196968160+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:09.203702666+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:09.207066666+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:09.214243421+01:00;ENABLE TEST CASE 7
2025-05-27 21:15:09.215351438+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:09.222279354+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:09.225910974+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:09.229230791+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:09.233581994+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:09.239772484+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:09.246259118+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:09.253022682+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:09.256468820+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:09.263424048+01:00;ENABLE TEST CASE 11
2025-05-27 21:15:09.264446274+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:09.271145403+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:09.274928246+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:09.278205447+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:09.282565893+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:09.288772730+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:09.295364718+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:09.301979172+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:09.305395122+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:09.312382986+01:00;ENABLE TEST CASE 1
2025-05-27 21:15:09.313450629+01:00;ENABLE ONLY SSDL MUTANTS
