Operator,NON_EQ,EQ,TOTAL
CCCR,6,1,7
CCDL,2,0,2
CCSR,31,1,32
CRCR,78,2,80
OAAA,0,0,0
OAAN,11,1,12
OABA,0,0,0
OABN,7,2,9
OAEA,0,0,0
OALN,6,0,6
OARN,18,0,18
OASA,0,0,0
OASN,5,1,6
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,4,0,4
OCOR,0,0,0
OEAA,21,4,25
OEBA,9,6,15
OESA,9,1,10
OIDO,2,0,2
OIPM,0,0,0
OLAN,4,1,5
OLBN,2,1,3
OLLN,1,0,1
OLNG,3,0,3
OLRN,6,0,6
OLSN,2,0,2
OODL,18,1,19
ORAN,24,1,25
ORBN,14,1,15
ORLN,10,0,10
ORRN,23,2,25
ORSN,10,0,10
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,1,1
SBRn,1,0,1
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,1,1,2
SMTT,2,0,2
SMVB,1,0,1
SRSR,14,0,14
SSDL,15,1,16
SSWM,0,0,0
STRI,4,0,4
STRP,16,0,16
SWDD,0,1,1
VDTR,27,21,48
VGAR,4,0,4
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,4,0,4
VLPR,0,0,0
VLSR,115,4,119
VLTR,0,0,0
VSCR,0,0,0
VTWD,27,5,32
VVDL,11,1,12
Total,568,61,629
