2025-05-27 21:15:14.298237749+01:00;START ITERATION 5 WITH TEST CASE ORDER: 1 6 8 7
2025-05-27 21:15:14.298932855+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:15:14.312243276+01:00;ENABLE TEST CASE 1
2025-05-27 21:15:14.313473057+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:14.315939071+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:14.317747658+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:14.319340269+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:14.321476719+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:14.325052292+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:14.327812539+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:14.330389518+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:14.331931667+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:14.336682303+01:00;ENABLE TEST CASE 6
2025-05-27 21:15:14.337784191+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:14.340352695+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:14.342170185+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:14.343836845+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:14.345945748+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:14.349504147+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:14.352225737+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:14.354749415+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:14.356332954+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:14.361092418+01:00;ENABLE TEST CASE 8
2025-05-27 21:15:14.362251596+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:14.364847769+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:14.366739598+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:14.368285666+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:14.370425680+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:14.374092392+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:14.376719909+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:14.379365983+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:14.380921533+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:14.385772957+01:00;ENABLE TEST CASE 7
2025-05-27 21:15:14.386872852+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:14.389458379+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:14.391353609+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:14.393069474+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:14.395176298+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:14.398872644+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:14.401426475+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:14.404013516+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:14.405711015+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:14.408484699+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:15:14.413631377+01:00;END ITERATION 5 WITH TEST CASE ORDER: 1 6 8 7
